,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.08,1.03,0.89,0.88,0.74,0.69,0.54,0.88,0.67,0.71,0.59,0.64,0.56,0.62,0.52
f_1,0.93,1.0,1.27,1.0,0.85,0.82,0.57,0.75,0.55,0.61,0.56,0.57,0.52,0.52,0.4,0.55
e_1,0.97,0.79,1.0,1.25,0.99,0.89,0.8,0.63,0.69,0.97,0.73,0.69,0.61,0.55,0.6,0.62
c_1,1.11,1.0,0.81,1.0,1.36,0.78,0.82,0.69,0.59,0.46,0.61,0.65,0.59,0.68,0.61,0.54
b_1,1.14,1.17,1.0,0.74,1.0,1.28,0.72,0.75,0.63,0.75,0.61,0.66,0.55,0.67,0.66,0.68
a_1,1.34,1.22,1.12,1.28,0.79,1.0,0.86,0.95,0.83,0.72,0.78,0.76,0.66,0.84,0.66,0.62
h_1,1.38,1.72,1.3,1.3,1.42,1.16,1.0,1.13,0.8,0.8,0.91,0.86,0.79,0.85,0.85,0.91
g_1,1.78,1.35,1.64,1.43,1.34,1.04,0.9,1.0,0.97,0.92,0.99,1.18,0.84,0.69,0.91,0.77
c_0,1.13,1.8,1.45,1.63,1.5,1.3,1.25,1.05,1.0,1.21,1.31,0.93,1.08,0.82,0.91,0.85
d_0,1.46,1.51,1.06,2.16,1.38,1.36,1.22,1.08,0.83,1.0,0.93,1.06,0.82,0.89,0.89,0.96
b_0,1.41,1.77,1.41,1.73,1.58,1.16,1.13,1.04,0.78,1.12,1.0,1.12,1.38,1.05,1.05,1.03
f_0,1.71,1.8,1.44,1.63,1.52,1.27,1.16,0.83,1.02,0.95,0.94,1.0,0.89,1.03,1.27,0.77
a_0,1.58,1.78,1.68,1.81,1.79,1.64,1.25,1.19,0.95,1.09,0.72,1.13,1.0,1.08,0.9,1.01
h_0,1.78,1.98,1.82,1.48,1.45,1.09,1.21,1.48,1.2,1.13,0.98,0.93,0.95,1.0,0.93,1.07
e_0,1.64,2.34,1.7,1.68,1.6,1.5,1.23,1.14,1.05,1.11,0.96,0.79,1.15,1.05,1.0,0.94
g_0,1.99,1.79,1.52,1.83,1.44,1.57,1.13,1.37,1.2,1.0,0.92,1.28,0.96,0.88,1.04,0.99
