,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.56,2.49,1.24,1.23,0.9,1.28,4.67,4.31,5.38,5.49,6.07,2.0,8.09,6.03,8.32,4.09
e_1,1.39,5.93,1.58,1.1,1.28,1.16,4.87,4.16,11.05,6.98,6.47,6.61,8.98,6.54,8.44,3.81
c_1,1.18,1.17,6.29,1.2,2.74,1.08,4.62,4.54,5.76,2.17,4.08,5.95,9.49,5.1,7.71,6.71
d_1,1.54,1.13,1.03,6.62,1.12,1.31,5.07,4.85,2.28,11.85,7.84,7.87,8.42,7.35,11.84,6.99
b_1,1.31,0.99,1.44,1.25,7.73,2.54,4.86,4.76,6.38,5.42,2.43,5.64,9.74,3.84,10.09,5.8
a_1,1.69,1.3,1.4,1.14,1.18,11.26,4.34,4.74,6.56,6.16,4.96,4.71,10.31,2.22,7.36,4.27
h_1,2.41,1.54,1.31,1.87,1.34,1.5,16.47,6.62,6.2,7.02,8.26,5.48,6.51,7.48,14.81,6.35
g_1,1.31,1.35,1.48,2.75,1.35,1.41,5.11,19.02,6.48,7.31,8.86,11.1,11.69,8.2,6.45,9.86
d_0,1.54,1.33,3.25,0.88,1.53,1.02,6.12,5.71,15.31,5.68,8.2,8.69,12.97,9.51,10.88,10.16
c_0,1.86,1.48,1.04,1.98,0.96,1.7,4.73,6.29,8.64,16.19,17.46,8.93,12.78,10.15,14.57,9.92
b_0,1.73,1.53,1.43,2.16,0.58,1.47,5.83,7.26,6.59,7.83,19.07,8.26,12.79,17.21,11.72,10.33
f_0,0.96,1.21,1.69,2.14,1.3,1.12,6.17,6.86,8.48,9.25,9.23,20.86,14.45,10.59,14.5,20.15
h_0,2.12,1.44,1.74,1.95,1.53,1.29,3.04,8.55,7.15,7.46,8.97,6.74,6.17,8.12,13.86,8.22
a_0,1.61,1.68,1.85,1.89,1.33,0.74,6.3,6.98,6.6,6.35,9.92,9.21,11.37,23.73,11.38,10.01
g_0,1.52,1.23,1.45,2.83,1.31,1.15,5.65,3.93,5.9,6.87,10.14,12.5,11.55,8.97,6.18,9.42
e_0,1.73,0.64,1.97,1.75,2.22,1.68,4.87,4.98,7.65,7.89,10.05,9.72,14.58,6.49,12.85,29.68
