,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.43,2.31,2.29,2.01,2.09,1.88,0.47,0.34,0.42,0.39,1.06,0.39,0.23,0.35,0.37,0.19
f_1,1.8,0.43,1.85,2.45,1.81,1.99,0.45,0.74,0.42,0.37,0.49,0.64,0.26,0.39,0.4,0.36
e_1,2.48,1.11,0.43,2.17,2.22,1.77,0.76,0.74,0.49,0.44,0.41,0.55,0.35,0.55,1.57,0.42
c_1,2.75,2.42,1.63,0.41,2.42,2.01,0.58,0.63,0.92,0.41,0.2,0.38,0.31,0.45,0.35,0.33
b_1,2.23,2.59,2.22,1.16,0.39,3.62,0.72,0.72,0.57,1.06,0.55,0.39,0.36,0.49,0.47,0.29
a_1,2.68,2.37,2.98,3.36,1.31,0.34,1.0,0.87,0.55,0.74,0.75,0.65,0.49,1.76,0.61,0.41
h_1,3.4,3.22,3.29,3.55,3.31,2.72,0.34,0.94,0.71,0.64,0.65,0.75,0.67,0.63,0.72,0.42
g_1,3.15,4.4,4.16,3.45,4.29,3.45,0.72,0.31,0.72,0.66,0.75,0.72,0.38,0.74,0.61,0.79
c_0,1.75,4.58,4.29,8.29,3.73,3.8,1.17,0.97,0.38,0.77,0.92,0.86,0.57,0.9,0.83,0.54
b_0,3.18,3.85,4.05,5.28,7.47,3.05,1.08,1.24,0.4,0.39,0.86,0.76,0.53,0.61,0.7,0.55
d_0,8.14,4.03,2.03,3.65,5.3,3.45,1.49,1.49,0.82,0.8,0.4,0.82,0.6,0.76,1.01,0.64
f_0,3.55,11.34,4.42,3.67,3.94,4.92,1.27,0.72,0.72,0.79,0.79,0.36,0.55,0.77,0.9,0.37
h_0,4.09,5.34,4.25,4.86,4.6,3.22,2.33,1.11,0.8,0.82,0.86,0.79,1.05,0.75,0.76,0.72
a_0,4.3,4.79,4.57,4.59,5.06,7.09,1.31,1.39,0.79,0.53,0.85,1.15,0.69,0.33,0.78,0.8
e_0,3.66,6.11,11.11,5.35,4.72,3.77,1.24,1.26,0.94,0.88,0.88,0.42,0.56,0.92,0.33,0.6
g_0,4.28,6.14,5.76,5.87,4.52,5.18,0.96,2.78,1.05,1.25,1.05,0.96,0.59,0.81,0.96,1.04
