,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.1,1.74,2.78,3.44,2.93,2.92,0.8,0.65,0.83,0.57,0.5,0.62,0.39,0.89,0.56,0.49
f_1,2.97,1.1,2.81,2.93,2.98,2.55,0.61,0.69,1.02,0.59,0.56,0.7,0.32,0.47,0.51,0.46
d_1,3.74,3.91,1.1,3.43,3.42,2.77,0.86,1.15,0.52,0.59,0.6,0.58,0.42,0.64,0.53,0.3
c_1,2.6,3.7,4.2,1.11,3.41,3.23,0.95,0.41,1.16,1.14,0.81,0.79,0.51,0.7,0.65,0.44
b_1,4.29,3.63,4.24,2.01,1.12,3.87,1.05,0.82,1.21,1.04,1.76,0.82,0.69,0.85,1.01,0.54
a_1,5.76,6.82,7.5,5.87,2.93,1.13,1.83,1.29,1.58,1.48,1.49,1.25,0.92,1.3,2.81,0.9
h_1,11.56,13.36,11.74,12.02,11.81,10.73,1.65,2.75,3.73,2.43,2.41,1.98,2.34,2.1,2.29,1.67
d_0,8.81,14.03,20.53,17.89,13.65,14.23,4.66,1.99,4.82,3.36,3.07,2.83,2.08,2.63,2.66,2.8
g_1,14.67,16.95,14.19,16.06,14.54,14.23,3.09,3.4,1.72,2.9,3.24,2.94,1.67,2.89,2.59,2.42
c_0,18.12,16.57,8.7,28.62,17.98,12.6,4.53,4.45,3.71,1.98,3.02,3.46,2.12,3.1,2.77,2.22
b_0,17.39,16.13,13.32,24.03,28.94,16.92,5.04,4.16,4.58,2.02,2.0,3.5,2.51,3.76,2.91,2.78
f_0,17.71,30.51,16.65,21.41,18.67,15.92,6.55,3.47,3.2,3.61,3.87,2.11,2.45,3.3,3.57,1.69
h_0,21.36,23.47,20.53,24.98,20.1,21.34,8.7,5.11,5.82,4.6,4.58,4.77,4.81,4.67,4.15,3.85
e_0,32.49,37.36,21.33,35.37,32.89,22.9,7.33,5.95,6.4,5.29,4.78,2.83,3.63,2.16,4.68,3.7
a_0,28.9,27.95,22.99,34.98,38.59,44.71,9.43,6.16,7.02,4.57,2.75,7.92,3.73,5.74,2.46,4.17
g_0,30.95,35.2,29.94,34.59,30.79,26.08,6.95,6.83,10.59,7.13,7.86,5.85,3.48,5.65,6.38,5.17
