,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.57,0.55,0.49,0.45,0.65,0.56,2.7,5.43,2.36,0.99,3.11,2.89,4.39,3.08,4.58,4.01
f_1,0.52,5.89,1.14,0.5,0.48,0.54,2.37,2.57,1.86,3.4,3.12,0.65,4.03,2.57,3.19,2.84
e_1,0.64,0.64,6.1,0.65,0.63,0.62,1.97,2.49,1.54,5.18,2.89,2.95,4.19,2.52,3.58,0.76
c_1,0.66,0.58,0.56,7.21,1.16,0.5,1.52,0.42,2.01,2.71,1.98,2.57,4.49,2.33,4.33,3.5
b_1,0.66,0.54,0.57,0.5,7.77,1.13,2.2,2.83,1.76,2.6,0.84,3.66,4.46,2.23,4.17,2.77
a_1,0.59,0.8,0.52,0.62,0.41,10.78,2.03,2.85,2.16,2.46,4.13,2.97,4.44,0.52,4.73,2.02
h_1,1.03,1.38,1.02,1.18,0.78,0.83,14.79,4.89,5.93,4.01,4.51,5.23,3.35,5.7,9.51,4.41
c_0,1.1,1.09,1.08,0.57,0.98,0.96,4.85,13.12,4.15,5.25,10.11,5.56,8.0,8.24,10.38,5.73
g_1,1.69,0.84,0.87,1.22,0.85,0.95,3.6,4.01,18.09,3.17,4.58,8.31,7.39,4.63,4.25,5.37
d_0,0.28,1.11,1.09,2.39,1.22,0.99,3.54,3.98,3.74,13.46,5.26,4.7,7.64,3.94,4.72,3.93
b_0,0.9,1.32,1.0,1.42,0.24,1.1,4.32,5.45,4.17,4.17,15.22,6.21,8.33,11.87,8.73,5.7
f_0,1.32,0.56,0.71,1.36,1.03,0.88,3.86,5.87,5.92,5.85,5.17,16.9,7.86,6.88,8.31,11.93
h_0,1.14,1.57,1.01,0.97,0.93,0.77,1.64,4.15,4.78,5.31,4.48,5.28,2.62,6.37,10.07,5.68
a_0,1.29,1.03,1.11,1.08,1.08,,5.42,5.38,3.69,5.28,5.09,5.77,10.08,21.43,10.13,6.98
g_0,1.64,0.88,0.8,1.03,0.93,0.84,3.49,4.08,2.81,4.35,4.53,8.77,7.0,5.61,3.45,5.99
e_0,1.1,1.41,0.36,1.05,1.16,1.11,4.64,5.26,5.56,6.2,5.81,5.48,7.57,7.46,6.51,22.63
