,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.23,0.96,0.85,0.88,0.76,0.59,0.69,0.59,0.64,0.56,0.54,0.5,0.46,0.5,0.59
e_1,0.82,1.0,1.23,0.91,0.95,0.83,0.68,0.87,0.63,0.65,0.65,0.72,0.64,0.6,0.59,0.54
c_1,1.03,0.83,1.0,1.06,1.35,0.97,0.74,0.51,0.58,0.64,0.5,0.6,0.62,0.59,0.5,0.56
d_1,1.18,1.12,0.94,1.0,0.9,0.79,0.7,0.71,0.82,0.56,0.72,0.58,0.63,0.52,0.6,0.46
b_1,1.14,1.02,0.77,1.11,1.0,1.31,0.76,0.64,0.74,0.75,0.69,0.67,0.63,0.58,0.5,0.59
a_1,1.3,1.18,1.04,1.22,0.76,1.0,0.94,0.85,0.82,0.83,0.96,0.78,0.71,0.68,0.75,0.69
h_1,1.64,1.49,1.39,1.48,1.32,0.97,1.0,0.91,0.84,1.08,0.88,0.88,0.85,0.86,0.88,0.87
d_0,1.37,1.19,1.92,1.47,1.64,1.14,1.1,1.0,0.88,1.03,0.93,0.96,0.9,0.93,0.81,0.94
c_0,1.7,1.58,1.77,1.23,1.34,1.25,1.2,1.15,1.0,1.1,1.34,0.93,0.92,0.88,1.0,0.85
g_1,1.59,1.54,1.49,1.75,1.33,1.13,0.91,0.94,0.94,1.0,0.91,1.08,0.78,0.93,0.96,0.81
b_0,1.79,1.58,1.89,1.36,1.45,1.02,1.1,1.11,0.73,1.08,1.0,0.9,1.03,0.93,1.25,0.92
f_0,1.81,1.45,1.67,1.74,1.47,1.21,1.12,1.04,1.09,0.9,1.06,1.0,0.96,1.24,0.97,0.76
h_0,1.9,1.6,1.66,1.62,1.51,1.35,1.2,1.14,1.03,1.25,1.03,1.01,1.0,0.88,0.88,1.07
e_0,2.13,1.67,1.68,1.93,1.65,1.45,1.19,1.03,1.14,1.09,1.07,0.84,1.07,1.0,1.03,1.03
a_0,1.96,1.69,2.01,1.62,2.08,1.28,1.22,1.33,1.01,1.11,0.82,1.03,1.13,1.1,1.0,0.98
g_0,1.81,1.77,1.79,2.1,1.62,1.46,1.14,1.1,1.18,1.23,1.1,1.27,0.94,1.01,1.04,1.0
