,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.99,1.05,0.86,1.24,0.83,0.71,0.69,0.49,0.52,0.66,0.48,0.6,0.58,0.53,0.55
f_1,1.01,1.0,0.96,1.24,0.93,0.73,0.61,0.69,0.68,0.61,0.53,0.59,0.49,0.43,0.55,0.56
d_1,0.98,1.05,1.0,1.03,0.94,0.82,0.72,0.56,0.67,0.82,0.6,0.7,0.59,0.6,0.55,0.48
e_1,1.16,0.81,0.97,1.0,1.01,0.86,0.73,0.77,0.9,0.61,0.71,0.62,0.62,0.64,0.59,0.66
b_1,0.81,1.08,1.06,0.98,1.0,1.27,0.8,0.71,0.64,0.73,0.64,0.69,0.66,0.59,0.54,0.59
a_1,1.21,1.35,1.17,1.11,0.79,1.0,0.84,0.91,0.8,0.84,0.76,0.87,0.72,0.74,0.83,0.74
h_1,1.42,1.59,1.36,1.38,1.28,1.17,1.0,1.0,0.9,0.84,0.87,0.86,0.79,0.69,0.75,0.91
g_1,1.49,1.47,1.74,1.32,1.4,1.14,1.0,1.0,0.94,0.97,1.13,0.9,0.73,0.87,0.78,0.84
d_0,2.01,1.49,1.47,1.15,1.62,1.24,1.11,1.05,1.0,0.77,1.05,0.84,0.86,0.9,0.92,0.93
c_0,1.97,1.62,1.26,1.59,1.28,1.2,1.18,1.05,1.24,1.0,0.96,1.31,0.94,0.97,1.02,0.87
f_0,1.59,1.83,1.68,1.39,1.52,1.34,1.16,0.92,1.03,1.04,1.0,1.04,0.93,1.3,1.01,0.79
b_0,2.01,1.69,1.4,1.64,1.43,1.17,1.16,1.06,1.14,0.8,0.91,1.0,0.98,0.91,1.29,0.9
h_0,1.69,1.95,1.69,1.63,1.52,1.41,1.21,1.36,1.15,1.05,1.11,1.03,1.0,0.96,1.0,1.04
e_0,1.77,2.34,1.64,1.66,1.69,1.42,1.35,1.12,1.06,0.98,0.8,1.06,1.06,1.0,1.0,0.93
a_0,1.81,1.76,1.84,1.68,1.8,1.3,1.27,1.29,1.11,0.98,0.93,0.78,0.99,0.98,1.0,1.04
g_0,1.86,1.75,2.01,1.53,1.69,1.29,1.07,1.2,1.1,1.15,1.27,1.07,0.95,1.08,1.0,1.0
