,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,6.28,2.31,2.1,1.74,2.2,2.08,8.23,8.99,18.17,13.87,7.25,11.6,16.87,11.63,11.45,18.19
f_1,2.08,6.33,3.9,2.05,1.99,2.3,8.36,6.71,8.14,9.86,10.5,5.95,12.64,10.19,7.69,12.84
e_1,1.8,2.44,6.31,2.9,2.25,2.04,7.8,7.48,9.08,9.8,19.91,10.49,15.93,9.78,7.23,14.97
c_1,2.24,2.08,1.87,6.95,4.39,2.2,7.71,7.92,5.72,7.3,10.43,12.32,14.13,10.08,10.17,14.8
b_1,2.3,2.39,2.12,2.12,7.72,4.3,7.73,6.9,8.89,7.09,7.31,10.28,15.37,9.27,10.63,16.31
a_1,2.27,2.34,2.29,2.49,1.86,10.03,8.79,8.67,10.54,12.55,11.42,9.32,18.15,9.53,12.96,15.77
h_1,2.74,3.31,2.13,2.31,2.32,2.41,17.41,11.29,10.0,11.25,9.33,11.37,11.46,11.93,11.07,23.83
g_1,3.8,2.37,1.9,2.24,2.15,2.26,8.35,20.3,12.25,10.8,9.38,18.68,19.08,11.24,14.8,13.06
c_0,2.72,2.55,2.28,2.19,1.8,2.41,9.23,9.08,18.26,23.0,12.0,13.92,20.44,16.91,13.42,20.42
b_0,2.57,2.71,2.45,2.86,1.82,1.76,10.88,9.42,10.65,19.47,13.18,13.69,20.31,22.43,13.78,19.05
d_0,1.32,2.11,2.46,5.01,2.67,1.95,9.81,9.05,8.06,10.34,19.28,13.58,16.43,10.97,12.51,17.19
f_0,2.76,2.11,1.84,2.98,2.57,2.28,9.02,10.07,11.51,13.98,11.77,22.12,20.7,12.34,27.06,19.71
h_0,3.03,2.93,2.16,2.6,2.21,2.12,7.85,12.82,10.56,12.42,11.99,13.22,13.88,12.0,15.39,23.83
a_0,2.94,2.58,2.31,2.76,2.5,1.72,10.11,9.13,10.42,12.56,11.9,14.49,21.22,26.05,12.19,22.14
e_0,2.76,2.73,1.41,3.1,2.89,2.16,8.78,10.5,10.87,13.78,9.26,12.17,22.76,15.14,28.66,24.16
g_0,3.74,2.22,2.05,2.75,2.57,2.38,9.01,6.73,10.61,11.54,9.64,18.9,16.1,10.08,12.96,13.42
