,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,93.18,54.27,67.1,130.86,169.01,280.92,9824.52,15437.64,17988.47,36768.05,27253.43,37129.69,91443.33,76061.05,81334.3,151848.63
f_1,67.36,106.81,59.44,100.24,147.69,291.31,6883.87,14579.47,13885.65,19323.22,23791.62,19697.12,72019.11,65001.6,66480.53,124114.94
d_1,42.3,53.99,121.54,86.92,152.66,304.85,8390.48,23874.99,16069.28,14665.66,24067.34,30707.48,77436.24,66938.19,106412.69,111123.88
c_1,35.16,42.64,51.9,183.79,209.31,195.01,6422.38,8098.75,14959.82,13502.79,19200.65,26268.83,64203.06,45711.58,70785.58,112063.0
b_1,30.46,40.35,44.04,62.73,264.71,351.45,6059.62,9718.81,9749.6,13754.75,9656.05,22156.67,56388.19,37841.93,65331.61,92489.81
a_1,27.31,31.7,34.25,68.87,73.78,434.4,5202.05,9434.39,11067.41,10405.1,17507.82,22316.75,55738.43,39591.95,62767.76,88571.73
h_1,10.07,17.97,16.57,24.89,39.44,67.37,3370.34,3688.33,5541.89,5288.22,6677.03,8807.94,16043.5,17605.73,25285.97,43780.81
c_0,10.08,12.14,12.38,17.64,30.95,59.57,2135.28,4775.83,4082.37,4842.25,8893.09,7609.88,20044.92,18968.98,21701.46,31604.25
g_1,8.03,10.51,17.64,19.26,36.49,59.36,1450.84,3284.63,5978.38,3458.68,5115.37,8848.45,12958.83,15523.6,17622.73,19854.64
d_0,7.74,10.9,8.95,33.87,33.44,52.62,1577.53,2750.49,3683.64,5550.41,5262.98,5957.24,17505.03,13655.56,18883.29,31312.2
b_0,8.24,10.85,13.73,18.88,26.92,37.95,1592.59,2661.24,3258.17,3818.15,6625.09,6162.01,14529.35,25285.77,18126.21,26007.05
f_0,5.88,7.52,12.1,21.25,29.3,46.78,1475.33,2853.84,2745.36,4043.18,4225.85,8335.26,14722.87,13908.76,27823.14,22342.99
h_0,6.34,8.99,9.07,14.17,21.32,32.1,912.78,1893.19,3028.12,2745.25,3749.78,3799.7,8697.39,8576.27,11787.51,21129.46
a_0,5.7,7.53,9.52,16.58,22.18,21.12,1235.08,2198.11,2186.65,3157.08,2526.85,4183.83,12916.24,15322.41,13116.54,18114.43
e_0,3.68,8.7,6.4,13.42,17.62,35.51,1144.73,2188.2,2324.72,2498.78,3542.48,3866.18,11329.57,9707.48,19175.2,16908.42
g_0,4.42,5.67,9.95,12.34,17.27,28.18,789.66,1811.01,1682.88,2040.36,3001.38,4984.14,8470.97,7927.57,10734.09,13290.55
