,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.72,0.94,1.22,1.01,0.73,0.47,0.5,0.59,0.44,0.47,0.41,0.34,0.37,0.39,0.35
f_1,1.38,1.0,0.87,0.9,0.88,0.63,0.45,0.49,0.4,0.4,0.41,0.41,0.32,0.31,0.29,0.3
d_1,1.06,1.15,1.0,0.93,0.86,0.72,0.51,0.37,0.54,0.52,0.4,0.47,0.35,0.36,0.31,0.34
c_1,0.82,1.12,1.08,1.0,1.25,0.82,0.48,0.42,0.32,0.29,0.39,0.33,0.35,0.31,0.32,0.3
b_1,1.0,1.13,1.17,0.81,1.0,1.13,0.53,0.51,0.47,0.48,0.37,0.37,0.46,0.37,0.35,0.37
a_1,1.37,1.56,1.38,1.23,0.88,1.0,0.68,0.74,0.57,0.62,0.6,0.54,0.48,0.4,0.43,0.43
h_1,2.04,2.24,1.99,2.0,1.89,1.39,1.0,1.01,0.81,0.84,0.78,0.82,0.73,0.55,0.75,0.6
g_1,2.06,1.97,2.62,2.4,2.06,1.38,0.98,1.0,0.83,0.83,1.19,0.93,0.68,0.74,0.65,0.61
d_0,1.7,2.57,1.88,3.21,2.09,1.76,1.25,1.16,1.0,0.85,1.01,0.83,0.84,0.74,0.78,0.77
c_0,2.43,2.41,1.89,3.06,2.05,1.46,1.19,1.26,1.13,1.0,1.14,1.33,0.93,0.84,0.8,0.87
f_0,1.98,2.62,2.47,2.53,2.57,1.66,1.22,0.84,1.01,0.9,1.0,0.91,0.8,1.3,0.61,0.82
b_0,2.45,2.38,2.19,2.95,2.55,1.96,1.24,1.1,1.2,0.74,1.09,1.0,0.99,0.91,0.91,1.1
h_0,2.78,3.2,2.92,2.82,2.28,2.05,1.33,1.47,1.12,1.03,1.26,0.99,1.0,0.86,1.15,0.84
e_0,2.7,3.63,2.9,3.19,2.48,2.52,1.67,1.32,1.47,1.27,0.77,1.03,1.16,1.0,0.85,0.82
g_0,2.73,3.3,3.39,3.27,2.8,2.25,1.26,1.64,1.24,1.23,1.58,1.15,0.87,1.13,1.0,0.93
a_0,2.95,3.29,3.17,3.25,2.7,2.19,1.69,1.69,1.23,1.17,1.19,0.93,1.21,1.17,1.11,1.0
