,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.06,1.38,2.28,2.16,2.03,1.81,0.85,0.77,0.66,0.81,0.65,0.72,0.55,0.52,0.85,0.53
f_1,2.36,1.06,2.2,1.6,2.13,1.69,0.68,0.75,0.63,0.85,0.63,0.83,0.52,0.39,0.5,0.52
c_1,1.86,2.21,1.06,2.61,2.36,1.78,0.97,0.4,0.84,0.81,0.65,0.6,0.52,0.46,0.48,0.46
d_1,2.67,2.92,2.1,1.06,2.09,1.71,0.72,0.99,0.73,0.55,0.58,0.59,0.65,0.48,0.52,0.32
b_1,2.49,2.66,1.52,2.46,1.07,2.65,0.96,0.81,0.81,0.95,1.03,0.76,0.68,0.6,0.52,0.56
a_1,3.68,3.58,3.99,3.71,1.87,1.07,1.25,1.04,0.9,1.34,0.9,1.2,2.38,0.8,0.91,0.67
h_1,5.71,6.27,4.94,5.24,4.72,4.38,1.32,1.82,1.67,2.13,1.58,1.44,1.36,1.65,1.46,1.28
d_0,3.88,5.97,8.15,8.47,5.57,5.84,2.49,1.47,1.84,2.5,2.02,1.65,1.56,1.55,1.63,1.39
c_0,6.71,6.44,9.76,4.11,6.32,5.82,2.37,2.51,1.49,2.22,2.46,1.77,1.79,1.69,2.13,1.31
g_1,6.99,7.2,6.18,6.54,6.94,5.27,1.88,2.16,1.82,1.33,1.73,2.07,1.47,1.22,1.83,1.72
b_0,6.46,7.36,8.39,7.23,9.43,6.32,2.71,2.08,1.33,2.54,1.49,1.66,2.27,1.46,1.91,1.41
f_0,5.99,12.05,7.8,7.44,7.33,5.83,3.03,2.49,2.11,1.85,2.55,1.45,1.94,1.62,2.34,1.19
a_0,8.34,9.55,10.28,8.75,10.64,8.72,3.72,2.99,2.53,3.54,1.6,2.55,1.55,2.22,2.25,2.23
h_0,9.21,9.74,9.72,9.6,9.1,6.76,4.11,2.84,2.63,3.46,3.0,2.68,2.32,2.45,2.11,1.97
e_0,11.52,14.06,10.8,12.26,11.25,7.32,3.73,3.24,3.01,3.82,3.16,1.75,2.85,2.46,1.58,2.21
g_0,10.46,11.18,11.88,12.68,9.7,8.65,3.15,3.77,3.33,4.91,3.1,3.43,2.84,2.15,2.91,2.81
