,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.2,0.41,0.2,0.27,0.2,0.12,0.45,0.52,0.4,0.38,0.43,0.07,0.56,0.28,0.27,0.38
e_1,0.25,2.24,0.21,0.25,0.18,0.19,0.42,0.87,0.34,0.48,0.34,0.45,0.52,0.37,0.15,0.45
d_1,0.25,0.24,2.34,0.14,0.19,0.18,0.45,0.13,0.38,0.94,0.51,0.44,0.57,0.49,0.48,0.45
c_1,0.25,0.21,0.21,2.4,0.37,0.16,0.41,0.59,0.28,0.1,0.39,0.43,0.68,0.32,0.32,0.41
b_1,0.22,0.28,0.24,0.24,2.59,0.35,0.41,0.44,0.35,0.38,0.1,0.33,0.38,0.21,0.19,0.43
a_1,0.25,0.2,0.26,0.22,0.17,3.06,0.39,0.46,0.29,0.52,0.45,0.54,0.67,0.17,0.39,0.68
h_1,0.64,0.3,0.46,0.35,0.31,0.25,2.79,0.74,0.88,0.83,0.7,0.54,0.36,0.6,0.75,1.09
d_0,0.53,0.43,0.11,0.82,0.3,0.23,0.63,2.13,0.4,0.59,0.7,0.79,0.89,0.53,0.73,0.88
g_1,0.35,0.3,0.65,0.36,0.35,0.3,0.49,0.73,3.09,0.66,0.95,1.38,0.89,0.76,0.77,0.39
c_0,0.51,0.34,0.49,0.13,0.32,0.28,0.92,0.74,0.89,2.41,1.69,0.82,1.16,1.03,0.77,1.03
b_0,0.42,0.49,0.44,0.44,0.08,0.19,0.9,0.91,0.96,0.83,2.51,0.89,0.98,1.49,0.9,0.78
f_0,0.21,0.36,0.58,0.35,0.49,0.2,0.58,0.79,0.82,0.91,0.92,2.51,1.08,0.71,1.56,1.03
h_0,0.57,0.36,0.36,0.39,0.32,0.35,0.34,0.81,0.68,0.79,0.87,0.84,0.45,0.74,0.76,1.1
a_0,0.52,0.41,0.48,0.41,0.33,,0.87,0.76,0.77,0.94,0.89,0.91,0.93,2.78,0.81,0.95
e_0,0.51,0.13,0.42,0.4,0.43,0.24,0.94,1.12,0.71,1.04,1.15,0.95,1.24,0.54,2.87,1.58
g_0,0.32,0.32,0.71,0.31,0.41,0.24,0.67,0.65,0.43,0.68,0.8,1.38,0.69,0.69,0.72,0.46
