,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.72,0.77,0.87,0.54,0.48,0.45,0.86,1.69,0.86,0.79,1.03,0.99,0.88,0.92,0.5,0.97
f_1,1.06,2.85,0.64,0.55,0.51,0.63,0.81,0.82,0.84,0.9,0.86,0.46,0.92,0.77,0.66,0.73
c_1,0.56,0.6,2.92,0.61,1.12,0.42,0.79,0.97,0.83,0.29,0.76,0.95,0.97,0.96,0.88,0.81
d_1,0.54,0.61,0.46,3.09,0.69,0.57,1.12,0.38,1.01,1.82,1.06,0.98,1.0,1.07,1.02,1.07
b_1,0.58,0.54,0.61,0.64,3.45,1.25,0.71,0.88,0.74,0.83,0.31,0.9,0.98,0.84,1.08,0.82
a_1,0.73,0.64,0.55,0.63,0.54,4.74,0.86,0.7,0.88,0.99,1.1,0.94,1.14,0.44,1.02,1.18
h_1,0.68,1.07,0.63,0.89,0.61,0.61,3.48,1.01,1.59,1.13,1.05,1.19,0.62,1.22,0.96,1.67
d_0,0.75,0.84,1.44,0.33,0.75,0.64,1.27,2.13,0.9,0.81,1.26,1.14,1.11,1.36,1.31,1.02
g_1,0.59,0.67,0.65,1.24,0.64,0.67,1.14,0.98,3.84,1.24,1.32,1.96,1.14,1.0,1.18,0.81
c_0,0.68,0.91,0.47,0.92,0.58,0.78,1.34,1.03,1.22,2.44,2.42,1.19,1.38,1.31,1.44,1.22
b_0,0.76,0.73,0.83,0.96,0.28,0.61,1.19,1.26,1.14,1.15,2.74,1.28,1.32,2.5,1.71,1.35
f_0,0.58,0.51,0.83,0.86,0.78,0.79,1.22,1.19,1.14,1.09,1.49,2.81,1.29,1.08,2.87,1.76
h_0,0.71,1.15,0.78,0.82,0.65,0.61,0.8,1.08,1.53,1.16,1.19,1.31,0.78,1.24,1.17,1.66
a_0,0.69,0.85,0.77,0.97,0.68,0.42,1.19,1.56,0.91,1.55,1.26,1.21,1.29,3.51,1.26,1.14
e_0,0.37,0.9,0.89,0.83,0.78,1.09,1.34,1.07,1.01,1.02,1.08,1.16,1.27,1.17,3.72,1.8
g_0,0.67,0.62,0.63,1.52,0.81,0.74,1.06,0.77,0.62,1.01,1.37,1.81,1.19,1.29,1.41,0.81
