,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,8464.84,5491.11,3764.37,4241.5,7758.12,25421.69,3528793.74,10784226.05,9702222.46,16118894.15,21830815.78,19119040.75,99212924.68,82295695.68,124719003.1,279371453.32
e_1,2552.07,11911.27,5235.88,4578.74,7178.49,34833.4,3726113.87,24589660.84,11794027.84,18526173.97,23023305.16,53510172.91,106925234.17,79854523.33,128279891.82,242310994.52
c_1,2167.74,3010.27,18240.51,5032.81,15819.35,29377.89,3018796.88,10995732.94,9607889.22,6539766.45,19750917.45,41540506.41,107946343.2,83616906.16,125972158.42,253008175.76
d_1,2480.55,2818.02,3565.68,23144.34,7544.37,35424.44,3337499.61,7639582.27,14283162.11,28318021.57,26797984.33,39284569.62,132572441.18,91972989.38,136467522.93,289414803.9
b_1,2450.42,2569.83,4205.58,5882.85,41670.58,62979.67,3764709.13,9552169.92,10420057.65,12839451.26,8597011.92,47897255.59,109436653.61,62099621.26,123047332.33,300221829.25
a_1,2285.67,2605.5,4670.62,5699.8,8408.22,230430.08,3903554.51,13576643.76,12039079.56,16101982.48,21278762.92,57494185.28,119233964.66,45448938.58,208880350.76,222505610.8
h_1,3889.16,3531.28,5357.79,6762.82,9248.91,32165.0,10158707.64,15223941.4,17518343.05,19484601.75,32227239.56,48708137.93,94273173.63,92767354.24,228746224.62,405491842.25
d_0,2709.96,3180.86,10576.22,3914.88,8579.28,39940.3,3896568.37,26974327.54,15913969.54,16197908.34,32617872.77,55993349.8,163165596.53,114547515.67,207559321.34,288801713.35
g_1,2264.01,3364.1,5603.37,9648.45,11124.56,31385.59,3816630.05,10764732.2,43484350.01,15952864.34,26720053.05,94900536.32,145917900.95,115272499.95,225693337.47,218119060.74
c_0,2824.06,3515.48,3796.88,7251.37,8067.29,33676.9,4977551.86,16818555.37,15794315.64,39672768.41,61127796.33,56674390.02,167934649.79,139674067.5,230061595.62,312923976.27
b_0,3269.27,3827.17,6001.71,6313.0,5929.14,27784.91,4828677.62,17643268.09,15022516.62,17443795.21,58042777.01,58151191.54,167172642.65,248286238.16,246467591.6,323740888.47
f_0,1929.48,3045.33,6187.65,6900.89,11332.47,30260.4,4626809.82,17639822.0,17167734.39,16375403.97,28824363.33,136092175.92,199554643.3,153678654.57,552623204.29,288929841.88
h_0,4126.78,3675.65,4462.68,6857.54,9392.48,37108.43,3278237.29,13710884.49,20023599.21,15241125.17,30852617.97,57424614.82,76133406.57,107490085.8,237607607.32,419417518.71
a_0,3030.7,4239.83,6290.81,6175.97,10703.18,22916.72,4498914.27,15507888.65,15409088.43,20986938.94,22637670.72,59105335.26,168332543.74,281619258.05,220450232.17,365278822.11
e_0,2306.98,2147.02,6227.53,9097.97,11165.15,38230.4,4096790.3,12716468.7,19353598.03,22524607.68,31228649.04,47783749.91,170948688.17,110352817.92,537056353.46,321197478.98
g_0,2367.15,3518.89,5925.56,10274.85,10347.82,36631.02,3993216.47,13757583.09,10160086.08,17789743.86,25254094.16,93885887.07,123516846.85,94451460.29,260153028.92,223929899.92
