,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.42,0.57,0.98,0.95,0.96,0.77,0.57,0.55,0.52,0.49,0.47,0.46,0.43,0.39,0.71,0.37
f_1,0.97,0.41,0.83,0.99,0.76,0.87,0.35,0.47,0.34,0.35,0.56,0.37,0.33,0.24,0.32,0.38
d_1,0.87,1.0,0.4,0.84,0.94,0.89,0.48,0.37,0.39,0.66,0.34,0.38,0.36,0.3,0.45,0.22
c_1,0.77,0.8,1.08,0.38,0.99,0.98,0.47,0.39,0.41,0.26,0.37,0.34,0.42,0.37,0.38,0.33
b_1,0.84,1.06,0.86,0.55,0.36,1.12,0.55,0.48,0.49,0.42,0.45,0.8,0.44,0.38,0.34,0.4
a_1,0.95,0.92,0.84,0.92,0.54,0.31,0.51,0.56,0.42,0.56,0.43,0.47,0.82,0.38,0.46,0.42
h_1,0.73,0.93,0.68,0.74,0.74,0.73,0.26,0.57,0.35,0.36,0.35,0.34,0.34,0.41,0.35,0.35
g_1,0.75,0.89,0.85,0.81,0.75,0.71,0.32,0.24,0.35,0.31,0.4,0.34,0.36,0.24,0.35,0.41
c_0,0.68,0.94,0.51,1.69,0.84,0.76,0.44,0.42,0.25,0.42,0.35,0.47,0.43,0.33,0.4,0.34
d_0,0.51,0.82,0.98,0.98,0.87,0.63,0.45,0.51,0.35,0.25,0.32,0.36,0.39,0.38,0.38,0.32
f_0,0.76,1.25,0.75,0.81,0.78,0.69,0.45,0.32,0.33,0.36,0.23,0.31,0.39,0.31,0.39,0.21
b_0,0.72,0.85,0.69,1.05,1.16,0.71,0.37,0.46,0.19,0.34,0.37,0.23,0.4,0.32,0.29,0.29
a_0,0.78,0.8,0.75,0.82,1.01,0.84,0.41,0.44,0.28,0.33,0.35,0.21,0.21,0.33,0.26,0.29
h_0,0.71,0.91,0.94,0.82,0.67,0.61,0.47,0.4,0.3,0.3,0.33,0.33,0.34,0.37,0.3,0.3
e_0,1.1,1.03,0.67,0.84,0.95,0.62,0.38,0.55,0.34,0.35,0.19,0.35,0.38,0.34,0.2,0.26
g_0,0.75,0.81,0.82,0.83,0.77,0.7,0.32,0.45,0.29,0.35,0.39,0.32,0.35,0.24,0.35,0.34
