,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,32.53,25.74,28.14,33.17,26.76,6.68,12.51,6.75,5.53,6.79,,3.61,8.26,5.13,9.1
e_1,17.58,0.44,38.99,33.59,32.23,35.91,8.9,11.14,8.52,6.38,8.37,6.3,4.38,8.02,5.85,
d_1,31.94,31.58,0.44,28.66,31.29,44.32,9.73,6.36,6.9,,7.5,7.75,4.93,7.21,3.13,5.52
c_1,36.76,32.03,46.2,0.41,28.65,47.31,10.11,7.63,,4.19,7.06,7.9,5.3,,5.5,5.94
b_1,38.72,40.2,35.42,19.42,0.4,40.3,14.16,9.35,8.93,7.15,,6.54,4.48,8.75,6.11,7.09
a_1,48.18,66.7,62.44,59.08,28.48,0.33,12.36,12.6,7.14,7.12,10.93,6.9,9.14,,5.07,
h_1,17.04,18.38,19.46,18.38,17.13,19.23,0.37,4.98,3.64,3.47,3.51,3.62,,4.37,2.1,2.79
g_1,21.04,33.1,13.52,26.39,25.89,22.56,5.18,0.34,3.96,3.21,3.37,5.32,1.91,2.82,,
c_0,15.82,14.94,8.81,,17.17,17.42,3.51,3.45,0.49,4.32,3.67,4.21,1.87,2.64,2.46,2.53
d_0,15.61,8.23,,13.78,20.1,22.72,4.7,4.51,2.51,0.54,2.96,2.66,2.46,3.81,1.89,2.43
b_0,21.9,33.59,14.91,20.7,,16.07,3.15,3.73,2.25,3.19,0.45,2.55,2.2,4.18,2.59,3.35
f_0,,15.67,22.46,13.48,16.42,12.77,6.07,4.01,3.11,3.41,4.04,0.46,2.36,2.68,1.87,2.87
h_0,10.31,11.44,12.69,19.3,11.11,9.63,,4.01,2.32,2.26,3.57,2.57,,2.07,1.93,
a_0,24.41,31.27,23.01,,22.59,,6.85,8.02,4.68,4.58,1.79,3.69,1.93,0.37,2.77,
g_0,19.46,12.43,15.63,12.07,18.36,12.63,2.42,,2.63,3.01,2.39,3.77,1.39,2.87,,
e_0,29.63,,24.64,23.23,18.23,,6.16,,6.22,3.73,3.82,1.82,,,,0.36
