,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.92,0.63,0.37,0.38,0.33,0.19,0.33,0.27,0.36,0.35,0.32,0.23,0.35,0.21,0.15,0.27
e_1,0.44,0.91,0.5,0.34,0.34,0.22,0.37,0.3,0.62,0.33,0.35,0.29,0.36,0.23,0.17,0.32
c_1,0.41,0.36,0.91,0.41,0.56,0.25,0.35,0.3,0.34,0.21,0.23,0.29,0.35,0.21,0.24,0.32
d_1,0.47,0.41,0.32,0.92,0.33,0.24,0.4,0.27,0.26,0.61,0.4,0.3,0.37,0.3,0.23,0.31
b_1,0.44,0.4,0.4,0.36,0.9,0.43,0.37,0.29,0.34,0.34,0.23,0.28,0.33,0.22,0.24,0.29
a_1,0.45,0.42,0.41,0.45,0.34,0.89,0.42,0.27,0.35,0.38,0.33,0.28,0.35,0.19,0.22,0.24
h_1,0.56,0.42,0.43,0.46,0.37,0.21,0.67,0.4,0.36,0.38,0.33,0.3,0.3,0.25,0.26,0.44
g_1,0.44,0.35,0.43,0.63,0.33,0.25,0.37,0.62,0.33,0.39,0.34,0.48,0.4,0.28,0.34,0.31
d_0,0.43,0.39,0.72,0.35,0.41,0.24,0.36,0.31,0.53,0.24,0.31,0.31,0.41,0.21,0.24,0.36
c_0,0.54,0.46,0.35,0.45,0.28,0.28,0.42,0.33,0.37,0.53,0.6,0.31,0.42,0.33,0.26,0.3
b_0,0.54,0.49,0.44,0.47,0.26,0.22,0.42,0.33,0.37,0.4,0.55,0.33,0.45,0.47,0.23,0.36
f_0,0.42,0.36,0.48,0.42,0.36,0.29,0.5,0.34,0.45,0.39,0.33,0.54,0.43,0.24,0.52,0.37
h_0,0.58,0.44,0.44,0.46,0.36,0.24,0.28,0.41,0.34,0.36,0.33,0.36,0.33,0.28,0.22,0.42
a_0,0.48,0.49,0.42,0.45,0.4,0.24,0.41,0.26,0.3,0.39,0.38,0.3,0.4,0.48,0.19,0.33
e_0,0.53,0.36,0.42,0.41,0.44,0.27,0.4,0.37,0.39,0.32,0.35,0.38,0.48,0.25,0.47,0.38
g_0,0.43,0.39,0.43,0.59,0.38,0.25,0.38,0.31,0.31,0.4,0.33,0.45,0.43,0.26,0.28,0.28
