,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.05,1.05,0.88,0.92,0.83,0.65,0.58,0.85,0.72,0.72,0.61,0.58,0.57,0.55,0.48
f_1,0.97,1.0,1.23,0.99,0.89,0.83,0.64,0.67,0.6,0.61,0.69,0.56,0.52,0.57,0.49,0.56
e_1,0.9,0.81,1.0,1.17,0.95,0.83,0.73,0.76,0.65,0.63,0.88,0.72,0.66,0.59,0.66,0.6
c_1,1.16,1.04,0.84,1.0,1.3,0.91,0.76,0.72,0.61,0.56,0.48,0.63,0.59,0.61,0.57,0.56
b_1,1.1,1.11,1.04,0.8,1.0,1.36,0.76,0.71,0.78,0.68,0.56,0.65,0.67,0.59,0.62,0.63
a_1,1.18,1.23,1.18,1.1,0.75,1.0,0.87,0.83,0.79,0.93,0.83,0.68,0.77,0.78,0.73,0.68
h_1,1.49,1.61,1.34,1.33,1.32,1.15,1.0,1.09,0.86,0.85,0.79,0.88,0.81,0.81,0.77,0.89
g_1,1.69,1.54,1.3,1.36,1.37,1.2,0.9,1.0,1.0,0.91,0.83,1.06,0.83,0.81,0.87,0.81
c_0,1.2,1.67,1.48,1.63,1.24,1.28,1.09,0.96,1.0,1.33,1.12,1.0,0.98,1.08,0.91,0.92
b_0,1.36,1.67,1.62,1.76,1.45,1.11,1.12,1.04,0.76,1.0,1.05,0.94,0.95,1.12,0.91,0.87
d_0,1.36,1.43,1.17,2.07,1.84,1.19,1.29,1.18,0.86,0.91,1.0,1.05,0.93,0.91,1.05,0.91
f_0,1.66,1.74,1.38,1.63,1.54,1.39,1.14,0.94,1.01,1.08,0.98,1.0,0.99,0.9,1.41,0.79
h_0,1.66,1.84,1.55,1.73,1.56,1.23,1.23,1.23,1.0,1.09,1.04,1.05,1.0,0.92,1.01,1.08
a_0,1.72,1.71,1.65,1.77,1.67,1.23,1.19,1.18,0.97,0.85,1.11,1.14,1.12,1.0,0.91,1.06
e_0,1.8,2.07,1.63,1.86,1.6,1.39,1.25,1.09,1.06,1.12,0.96,0.73,1.01,1.1,1.0,1.0
g_0,2.05,1.73,1.69,1.73,1.6,1.48,1.12,1.25,1.08,1.17,1.06,1.28,0.91,0.91,0.98,1.0
