,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.16,0.64,0.77,0.86,0.74,0.73,0.15,0.15,0.28,0.15,0.14,0.3,0.07,0.14,0.17,0.15
e_1,0.42,0.16,0.82,0.91,0.92,0.8,0.23,0.18,0.25,0.16,0.17,0.24,0.13,0.17,0.42,0.12
d_1,0.89,0.89,0.16,0.86,0.64,0.73,0.22,0.14,0.12,0.38,0.17,0.15,0.1,0.14,0.16,0.08
c_1,0.85,0.56,1.16,0.14,1.05,0.68,0.21,0.34,0.22,0.08,0.14,0.13,0.11,0.13,0.12,0.1
b_1,0.82,0.93,0.76,0.37,0.14,0.94,0.31,0.2,0.23,0.2,0.42,0.15,0.14,0.17,0.16,0.12
a_1,0.85,0.82,0.74,1.12,0.39,0.1,0.21,0.16,0.28,0.2,0.25,0.2,0.16,0.58,0.17,0.12
h_1,0.64,0.57,0.64,0.71,0.6,0.48,0.07,0.13,0.21,0.12,0.12,0.12,0.15,0.12,0.13,0.09
c_0,0.68,0.69,0.31,2.18,0.71,0.62,0.18,0.07,0.15,0.17,0.12,0.11,0.1,0.13,0.11,0.1
g_1,0.65,0.72,0.56,0.67,0.6,0.73,0.14,0.11,0.05,0.15,0.12,0.12,0.07,0.11,0.1,0.11
d_0,0.57,0.37,0.92,0.78,0.66,0.52,0.22,0.14,0.24,0.07,0.14,0.13,0.09,0.13,0.13,0.08
b_0,0.66,0.62,0.46,0.74,1.51,0.6,0.17,0.07,0.19,0.13,0.05,0.12,0.11,0.11,0.12,0.07
f_0,1.31,0.58,0.51,0.65,0.62,0.56,0.21,0.1,0.11,0.14,0.11,0.05,0.09,0.12,0.12,0.05
h_0,0.62,0.59,0.52,0.61,0.59,0.54,0.32,0.11,0.18,0.12,0.11,0.11,0.15,0.1,0.12,0.1
a_0,0.82,0.64,0.46,0.57,0.98,1.05,0.14,0.1,0.19,0.13,0.06,0.1,0.11,0.05,0.11,0.11
e_0,0.76,0.99,0.5,0.59,0.62,0.68,0.2,0.11,0.22,0.13,0.11,0.05,0.08,0.1,0.04,0.08
g_0,0.64,0.58,0.6,0.55,0.59,0.58,0.13,0.13,0.29,0.15,0.15,0.12,0.08,0.12,0.11,0.17
