,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.89,1.36,1.88,1.8,4.58,26.32,46.77,40.56,35.96,45.17,55.01,93.69,197.22,146.2,201.75
f_1,1.13,1.0,1.2,1.4,1.72,3.33,17.73,25.44,31.75,28.56,43.44,36.79,65.98,88.51,115.81,146.75
d_1,0.74,0.83,1.0,0.93,1.27,2.58,17.29,25.16,20.07,33.17,36.88,44.53,60.76,97.8,89.74,84.58
c_1,0.53,0.72,1.08,1.0,1.65,3.11,16.31,12.41,24.57,18.86,34.27,42.46,59.89,67.19,88.96,106.98
b_1,0.56,0.58,0.78,0.61,1.0,3.87,12.9,17.92,20.97,18.33,29.13,35.5,67.22,64.75,80.93,93.06
a_1,0.22,0.3,0.39,0.32,0.26,1.0,5.98,8.87,7.98,11.86,14.09,12.02,23.82,34.96,,58.28
h_1,0.04,0.06,0.06,0.06,0.08,0.16,1.0,1.42,1.91,1.37,1.99,1.87,2.93,4.05,5.05,7.11
d_0,0.02,0.04,0.04,0.08,0.06,0.11,0.74,1.0,1.27,1.24,1.52,1.89,2.38,3.31,4.5,5.08
g_1,0.02,0.03,0.05,0.04,0.05,0.12,0.52,0.79,1.0,0.96,1.3,1.8,2.06,3.74,3.73,3.86
c_0,0.03,0.04,0.03,0.06,0.05,0.08,0.77,0.8,1.0,1.0,1.84,1.48,2.31,3.47,3.93,4.8
b_0,0.02,0.02,0.03,0.03,0.03,0.07,0.49,0.64,0.81,0.57,1.0,1.08,1.81,2.65,3.73,3.81
f_0,0.02,0.03,0.02,0.02,0.03,0.08,0.52,0.51,0.58,0.72,0.97,1.0,1.69,2.89,2.23,2.77
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.35,0.38,0.49,0.41,0.59,0.62,1.0,1.53,1.3,2.53
e_0,0.01,0.01,0.01,0.02,0.01,0.03,0.25,0.27,0.26,0.31,0.36,0.35,0.68,1.0,0.96,1.32
a_0,0.01,0.01,0.01,0.01,0.01,,0.21,0.22,0.27,0.24,0.26,0.42,0.71,1.09,1.0,1.44
g_0,,0.01,0.01,0.01,0.01,0.02,0.14,0.19,,0.21,0.27,0.38,0.41,0.71,0.72,1.0
