,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,1.21,1.04,1.54,2.79,17.89,25.26,33.39,22.92,38.15,40.93,60.45,86.86,93.08,90.7
f_1,0.89,1.0,1.4,1.24,1.46,2.55,15.73,29.7,24.87,29.45,34.19,41.44,55.86,77.84,72.06,120.59
e_1,0.82,0.72,1.0,1.3,1.58,2.51,16.09,32.6,24.03,28.46,32.02,40.93,64.16,76.85,81.7,120.54
c_1,0.98,0.79,0.75,1.0,1.7,2.21,15.05,15.87,20.52,21.92,24.32,34.37,51.82,62.31,76.99,93.86
b_1,0.65,0.67,0.62,0.61,1.0,2.72,11.99,15.1,17.7,17.06,23.52,25.92,40.84,43.89,55.92,70.16
a_1,0.35,0.39,0.4,0.44,0.37,1.0,6.31,8.12,9.43,10.27,15.27,16.17,24.3,31.01,31.38,42.05
h_1,0.06,0.06,0.06,0.07,0.08,0.16,1.0,1.3,1.41,1.74,1.87,2.47,3.44,3.71,4.93,7.6
d_0,0.04,0.03,0.03,0.06,0.07,0.12,0.78,1.0,0.89,1.19,1.43,1.82,2.62,3.08,3.61,5.52
c_0,0.03,0.04,0.04,0.05,0.05,0.1,0.73,1.08,1.0,1.09,1.73,1.59,2.55,3.49,3.26,4.27
g_1,0.04,0.03,0.03,0.04,0.06,0.1,0.58,0.84,0.93,1.0,1.3,1.86,1.95,2.45,3.31,3.97
b_0,0.03,0.03,0.03,0.04,0.04,0.07,0.53,0.7,0.59,0.8,1.0,1.15,1.95,2.82,2.7,3.15
f_0,0.02,0.02,0.02,0.03,0.04,0.06,0.4,0.56,0.62,0.56,0.85,1.0,1.55,1.85,2.94,2.34
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.28,0.38,0.4,0.51,0.53,0.67,1.0,1.24,1.35,2.13
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.25,0.3,0.29,0.42,0.37,0.52,0.79,1.0,1.12,1.46
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.29,0.3,0.29,0.39,0.36,0.73,0.89,1.0,1.32
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.19,0.24,0.25,0.31,0.42,0.47,0.67,0.77,1.0
