,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,10542.1,175.71,186.12,193.59,363.41,1797.79,185550.95,257817.03,1144713.6,848601.64,1147731.0,1046200.35,2295571.77,5005426.29,11690792.61,
f_1,230.41,11610.25,241.04,215.87,401.38,2405.64,193675.02,272581.97,525992.73,644266.16,1312820.51,,3579369.8,4519870.44,13991721.48,6804799.3
d_1,137.21,143.17,15947.14,190.61,493.53,3051.83,201587.57,311221.56,,1431955.27,942797.74,961755.72,3080788.14,6214892.22,12701193.76,
c_1,157.35,169.19,124.75,19177.12,904.68,1773.28,184265.74,344450.49,617940.15,,725793.53,1133993.39,3044394.65,6932190.38,13178711.67,15048147.86
b_1,184.54,198.3,218.0,237.61,48028.12,3499.99,137613.43,245708.71,633221.44,415694.28,,1689360.45,2743167.53,6004181.84,9637475.19,11299342.79
a_1,114.25,118.43,193.27,220.2,551.15,356263.12,,308939.15,684641.03,839728.66,792482.03,895033.59,,6651291.72,11306129.09,
h_1,560.24,771.34,572.38,994.32,1978.22,,8080301.89,1488927.43,2310156.42,2282712.61,3539170.51,4069834.33,10812335.97,,85684070.08,53913139.17
g_1,604.6,287.97,989.3,951.83,2010.13,11048.94,695079.73,17464716.3,1823211.68,2396848.24,2477419.35,9298440.93,11286561.23,10547148.25,,54694489.02
d_0,544.36,699.5,,2213.01,2397.49,9201.95,1013052.77,1564004.44,19981737.51,2070113.71,5043582.09,8348222.35,15482109.97,28889740.99,83254223.32,45551529.66
c_0,742.43,715.52,1179.91,,1860.44,11295.22,715507.65,1866458.23,2701233.64,22687723.81,7816793.89,7640518.49,15836662.11,27953968.48,76644727.73,37275755.57
b_0,506.55,937.33,920.05,1143.39,,13015.65,834964.53,1746471.63,3047141.62,3192246.77,34304000.0,6623655.37,23051141.52,30516415.59,89868308.84,40692699.83
f_0,610.04,,1319.07,1427.75,1687.52,13995.32,839888.01,1627536.29,2959416.07,2012168.89,5688888.89,49327899.38,12393086.84,33750874.39,66643165.62,109388978.03
a_0,444.1,947.72,1092.29,858.93,1896.93,,1106890.67,1275961.01,4039516.06,3468194.41,4208219.18,5712944.76,175928477.34,15526943.35,59431097.01,
h_0,870.39,1731.79,1614.87,1584.37,3837.66,16137.06,,2662058.37,4494777.92,5643695.01,5202771.36,4079233.48,38786150.36,,184646202.76,75182817.23
g_0,1194.02,557.93,1642.94,1251.4,3132.19,19572.4,817649.6,,4563691.36,6486708.34,7009523.81,18399042.68,30872064.53,49822719.33,,66610074.12
e_0,,689.81,,1207.09,3021.29,,881487.48,1376007.95,3574359.67,3602535.54,5895757.58,6690560.98,,42802245.25,67612520.76,616556058.0
