,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.95,0.48,0.41,0.35,0.32,0.24,0.3,0.22,0.44,0.17,0.28,0.24,0.22,0.23,0.21,0.22
f_1,0.42,0.94,0.63,0.41,0.33,0.27,0.23,0.25,0.22,0.22,0.21,0.14,0.17,0.23,0.12,0.18
e_1,0.39,0.41,0.94,0.53,0.38,0.26,0.32,0.23,0.28,0.46,0.27,0.26,0.2,0.2,0.14,0.21
c_1,0.45,0.4,0.35,0.94,0.64,0.24,0.34,0.24,0.15,0.21,0.24,0.25,0.2,0.27,0.19,0.2
b_1,0.46,0.51,0.42,0.37,0.94,0.47,0.27,0.27,0.23,0.29,0.14,0.25,0.17,0.27,0.21,0.24
a_1,0.62,0.55,0.45,0.52,0.37,0.93,0.34,0.34,0.36,0.26,0.25,0.28,0.13,0.32,0.2,0.22
h_1,0.74,0.87,0.57,0.57,0.58,0.4,0.76,0.49,0.39,0.36,0.38,0.38,0.29,0.29,0.34,0.42
g_1,1.02,0.59,0.77,0.63,0.6,0.36,0.42,0.74,0.45,0.36,0.41,0.56,0.29,0.3,0.36,0.21
c_0,0.65,0.86,0.68,0.53,0.62,0.45,0.55,0.45,0.66,0.51,0.66,0.42,0.41,0.37,0.33,0.35
d_0,0.52,0.73,0.58,1.22,0.56,0.48,0.47,0.39,0.37,0.66,0.4,0.43,0.3,0.38,0.33,0.4
b_0,0.7,0.9,0.66,0.77,0.44,0.41,0.55,0.46,0.42,0.5,0.66,0.51,0.6,0.47,0.42,0.47
f_0,0.9,0.6,0.67,0.74,0.7,0.45,0.53,0.39,0.48,0.44,0.42,0.64,0.35,0.45,0.52,0.36
a_0,0.77,0.91,0.77,0.8,0.8,0.4,0.57,0.47,0.47,0.5,0.35,0.49,0.62,0.52,0.32,0.44
h_0,0.89,1.13,0.85,0.67,0.65,0.4,0.38,0.64,0.58,0.53,0.41,0.39,0.38,0.32,0.35,0.47
e_0,0.87,1.1,0.59,0.78,0.68,0.54,0.65,0.5,0.53,0.47,0.41,0.43,0.5,0.47,0.61,0.45
g_0,1.11,0.77,0.69,0.87,0.64,0.55,0.55,0.38,0.59,0.47,0.39,0.62,0.36,0.39,0.39,0.36
