,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.15,42.37,82.88,99.94,85.85,101.79,28.07,15.47,17.1,30.45,20.34,17.38,18.17,13.13,,16.2
f_1,85.76,1.15,80.85,65.27,139.0,77.36,20.05,20.77,16.68,41.88,19.67,,16.08,7.54,,
c_1,90.05,69.48,1.15,123.0,97.3,113.76,33.68,9.82,,27.92,24.58,15.89,24.59,11.97,15.45,13.5
d_1,109.15,165.43,103.59,1.15,104.25,84.09,19.14,,19.54,13.4,19.67,21.38,19.9,15.07,,8.53
b_1,144.08,108.56,54.34,133.25,1.15,120.88,24.06,20.19,22.06,30.45,,30.89,26.12,13.57,,14.09
a_1,171.52,173.7,236.79,188.12,83.4,1.15,31.19,36.35,25.33,60.91,28.1,50.55,,27.13,,27.0
h_1,112.56,112.06,85.0,79.95,67.88,80.58,2.0,20.19,31.09,23.93,19.03,16.85,17.42,,22.67,14.09
d_0,47.39,70.9,100.45,,60.81,120.88,35.08,3.07,19.54,22.33,16.39,16.35,13.93,15.07,13.6,12.0
c_0,100.06,102.18,,48.45,88.45,84.09,30.07,18.17,3.0,23.1,19.03,17.38,17.42,12.72,18.89,10.8
g_1,150.08,173.7,100.45,103.16,153.63,161.17,22.16,30.29,22.06,2.0,21.85,27.8,19.9,19.38,24.29,
b_0,112.56,112.06,114.31,118.44,,107.44,38.27,19.13,13.15,23.93,2.92,24.17,23.22,13.57,22.67,12.96
f_0,109.15,,174.47,114.21,112.27,113.76,24.06,26.93,20.73,23.1,26.82,2.91,20.9,13.57,20.0,11.17
a_0,144.08,128.67,195.0,177.67,162.17,,42.1,30.29,26.31,60.91,18.44,25.27,2.94,20.35,,
h_0,100.06,77.2,114.31,88.83,112.27,87.91,,16.52,22.8,29.13,23.6,24.17,24.59,,16.19,10.8
e_0,,,122.78,,,,64.77,40.39,34.2,55.83,26.82,15.44,,21.42,2.93,29.45
g_0,144.08,,118.39,139.04,162.17,161.17,22.16,26.93,20.73,,21.07,27.8,,11.0,28.33,
