,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.91,0.69,0.56,0.49,0.47,0.54,1.02,0.87,1.81,0.38,1.12,1.02,1.1,0.94,1.16,1.13
f_1,0.61,2.82,1.1,0.59,0.53,0.63,0.72,0.84,0.7,0.75,0.83,0.35,0.83,1.02,0.58,0.72
e_1,0.52,0.68,3.0,0.8,0.58,0.51,0.94,0.8,0.93,1.87,1.03,1.01,0.92,0.79,0.48,0.92
c_1,0.58,0.52,0.52,3.12,1.2,0.49,0.98,0.79,0.32,0.84,0.93,0.94,0.94,1.02,0.93,0.91
b_1,0.58,0.66,0.56,0.64,3.42,1.15,0.73,0.9,0.67,0.94,0.33,0.93,0.73,1.05,0.98,1.0
a_1,0.78,0.68,0.52,0.64,0.59,5.14,0.84,1.02,1.01,0.75,0.77,0.91,0.3,1.12,0.83,0.79
h_1,0.9,0.97,0.63,0.65,0.7,0.65,3.01,1.43,1.05,0.93,1.23,1.2,1.08,0.7,1.48,1.63
g_1,1.21,0.57,0.83,0.66,0.71,0.6,1.01,3.55,1.14,0.82,1.21,1.83,1.02,0.91,1.47,0.45
c_0,0.82,0.84,0.74,0.41,0.65,0.74,1.26,1.21,2.32,1.27,2.29,1.24,1.56,1.15,1.26,1.21
d_0,0.37,0.69,0.72,1.59,0.63,0.71,0.94,0.92,0.85,2.48,1.19,1.22,1.05,1.14,1.18,1.35
b_0,0.72,0.9,0.69,0.83,0.33,0.57,1.25,1.19,1.18,1.31,2.9,1.53,2.4,1.36,1.6,1.63
f_0,0.98,0.42,0.68,0.79,0.79,0.71,1.2,1.13,1.2,1.11,1.25,2.67,1.23,1.25,2.21,1.27
a_0,0.75,0.86,0.72,0.78,0.8,0.38,1.15,1.08,1.08,1.16,1.05,1.28,3.31,1.52,1.16,1.36
h_0,0.85,1.17,0.8,0.64,0.7,0.57,0.56,1.53,1.32,1.25,1.09,0.96,1.31,0.63,1.18,1.39
e_0,0.85,0.92,0.42,0.74,0.68,0.78,1.46,1.25,1.18,1.05,1.11,1.31,1.73,1.3,3.39,1.45
g_0,1.16,0.62,0.61,0.84,0.63,0.72,1.2,0.6,1.3,1.07,1.03,1.81,1.12,1.04,1.38,0.93
