,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.9,0.34,0.26,0.39,0.25,0.17,0.28,0.24,0.5,0.25,0.28,0.26,0.29,0.12,0.28,0.17
f_1,0.55,0.91,0.28,0.28,0.2,0.17,0.25,0.21,0.3,0.27,0.16,0.24,0.26,0.13,0.19,0.15
d_1,0.32,0.36,0.91,0.25,0.22,0.19,0.29,0.22,0.18,0.53,0.26,0.3,0.33,0.2,0.24,0.17
c_1,0.3,0.36,0.28,0.9,0.48,0.2,0.28,0.21,0.27,0.14,0.24,0.17,0.29,0.16,0.22,0.16
b_1,0.31,0.31,0.31,0.27,0.89,0.39,0.3,0.22,0.25,0.26,0.24,0.13,0.26,0.22,0.22,0.14
a_1,0.33,0.36,0.38,0.28,0.24,0.88,0.3,0.26,0.26,0.29,0.24,0.23,0.33,0.17,0.24,0.09
h_1,0.36,0.5,0.34,0.32,0.22,0.21,0.62,0.37,0.3,0.31,0.24,0.25,0.23,0.22,0.3,0.16
g_1,0.37,0.34,0.49,0.31,0.19,0.22,0.31,0.6,0.28,0.33,0.39,0.27,0.24,0.21,0.21,0.18
d_0,0.37,0.4,0.21,0.62,0.32,0.2,0.27,0.24,0.49,0.19,0.29,0.24,0.32,0.18,0.26,0.17
c_0,0.39,0.38,0.43,0.23,0.2,0.23,0.29,0.27,0.33,0.52,0.31,0.54,0.3,0.22,0.24,0.24
f_0,0.32,0.29,0.34,0.4,0.32,0.2,0.33,0.24,0.35,0.33,0.5,0.31,0.33,0.42,0.3,0.18
b_0,0.36,0.38,0.41,0.35,0.22,0.17,0.31,0.29,0.34,0.33,0.31,0.52,0.36,0.24,0.24,0.45
h_0,0.36,0.46,0.4,0.33,0.25,0.21,0.21,0.31,0.33,0.29,0.26,0.27,0.24,0.18,0.37,0.19
e_0,0.23,0.46,0.36,0.37,0.28,0.23,0.36,0.3,0.24,0.3,0.28,0.29,0.34,0.45,0.26,0.17
g_0,0.32,0.33,0.52,0.33,0.28,0.22,0.33,0.18,0.28,0.33,0.43,0.27,0.31,0.28,0.24,0.19
a_0,0.34,0.42,0.43,0.35,0.28,0.13,0.34,0.25,0.33,0.24,0.29,0.26,0.32,0.2,0.26,0.44
