,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.84,3.05,2.42,3.57,2.83,2.78,10.15,11.28,12.92,21.54,12.75,13.89,14.39,21.36,11.23,19.93
f_1,4.44,6.28,2.46,2.98,2.54,2.71,9.94,8.89,11.93,14.91,8.4,13.1,13.43,18.74,10.34,17.13
d_1,2.65,2.9,6.39,2.28,2.72,3.2,11.07,10.84,22.82,9.18,14.92,17.27,14.05,19.35,15.63,24.05
c_1,2.39,2.57,2.76,7.27,5.11,2.97,10.67,9.95,7.59,12.18,13.37,9.07,13.3,18.67,14.95,18.08
b_1,2.56,2.85,2.75,2.95,7.88,5.34,9.8,10.58,12.1,11.62,14.01,8.82,9.7,20.11,13.4,19.19
a_1,3.05,2.93,2.94,2.86,2.6,10.87,11.71,11.29,13.39,14.49,13.89,14.59,10.6,24.65,16.57,21.93
h_1,2.82,3.9,2.95,3.13,3.03,3.01,18.16,13.75,12.61,12.78,12.53,15.61,13.86,17.15,15.17,25.92
g_1,2.8,2.85,4.15,3.04,3.21,2.76,10.11,20.2,13.71,11.81,18.93,12.42,13.28,22.22,15.33,18.62
c_0,3.02,3.33,3.4,2.66,2.56,3.17,11.84,11.59,20.81,14.02,15.3,26.83,18.5,23.64,18.6,25.83
d_0,2.77,3.31,2.35,5.13,3.48,2.55,10.5,10.72,10.37,20.36,13.0,12.95,15.03,22.9,16.78,20.42
f_0,2.53,2.65,3.32,3.43,2.94,3.2,10.95,10.7,15.17,16.71,24.91,15.9,17.03,21.34,32.3,26.97
b_0,2.95,3.69,3.24,3.47,2.48,2.34,11.53,11.36,14.37,15.81,15.9,24.1,29.42,23.01,16.01,27.28
a_0,3.03,3.45,3.15,3.2,2.88,2.43,12.35,12.15,14.38,14.12,15.99,14.76,29.78,22.39,13.92,24.65
h_0,3.07,4.17,3.2,2.92,2.86,3.11,8.34,13.38,13.73,13.3,13.43,12.7,14.32,18.45,13.04,27.14
e_0,2.7,3.62,3.12,2.91,3.45,2.61,12.18,10.53,14.88,14.63,16.68,17.17,17.96,21.42,30.07,23.37
g_0,2.82,2.72,4.42,3.05,2.83,2.69,10.2,8.83,14.46,12.69,21.18,15.55,16.21,20.48,18.47,19.35
