,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.5,0.71,0.63,0.54,0.65,0.51,0.92,1.33,0.72,0.68,0.97,0.78,0.91,0.74,0.83,0.87
f_1,0.67,1.52,1.11,0.61,0.52,0.5,0.77,0.73,0.66,0.89,0.77,0.39,0.77,0.64,0.74,0.55
e_1,0.74,0.63,1.53,0.75,0.69,0.58,0.73,0.76,0.65,1.27,0.82,0.84,0.9,0.69,0.79,0.4
c_1,0.82,0.69,0.64,1.59,1.12,0.49,0.59,0.42,0.66,0.68,0.52,0.68,0.86,0.6,0.78,0.75
b_1,0.78,0.76,0.65,0.5,1.62,1.06,0.88,0.85,0.73,0.71,0.63,0.89,0.91,0.62,0.87,0.7
a_1,0.82,0.95,0.7,0.79,0.47,1.76,0.89,0.89,0.85,0.81,1.03,0.93,1.08,0.49,1.02,0.57
h_1,0.87,1.12,0.91,1.08,0.65,0.63,1.72,1.03,1.4,0.94,0.93,1.06,0.89,0.92,1.26,0.81
c_0,0.87,0.97,0.93,0.9,0.74,0.74,1.18,1.6,1.19,1.16,1.85,1.03,1.23,1.24,1.25,0.99
g_1,1.3,0.96,0.82,0.96,0.75,0.64,0.91,1.0,1.79,0.83,0.92,1.35,1.1,0.86,0.96,0.9
d_0,0.65,0.97,0.83,1.56,0.96,0.68,1.08,0.9,1.05,1.59,1.14,0.98,1.18,0.85,0.95,0.75
b_0,0.89,1.12,0.9,1.19,0.65,0.75,1.19,0.94,1.13,1.04,1.64,1.23,1.3,1.68,1.14,1.0
f_0,1.12,0.88,0.75,1.13,0.9,0.69,1.06,1.21,1.13,1.17,1.02,1.67,1.28,1.28,1.05,1.78
h_0,1.1,1.34,0.96,1.01,0.9,0.63,0.94,1.11,1.24,1.16,1.03,1.06,0.96,0.98,1.44,0.96
a_0,1.15,1.15,0.99,1.08,0.87,0.51,1.45,1.1,1.1,1.23,0.94,1.05,1.47,1.74,1.35,1.08
g_0,1.52,0.93,0.91,1.06,0.82,0.69,1.08,1.22,1.02,1.1,1.1,1.64,1.13,0.99,0.99,1.17
e_0,0.98,1.37,0.75,0.94,0.94,0.91,1.45,1.28,1.36,1.42,1.07,0.93,1.29,1.05,1.01,1.71
