,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,11370.71,6509.2,10139.35,7281.55,10484.69,70384.36,7455533.37,28948895.41,21548667.22,22540628.29,47724354.72,65701996.87,182984794.55,278543410.74,270953334.84,572467984.13
f_1,8736.1,13038.87,7779.94,7276.5,9910.94,67294.78,6922366.52,19233898.16,23929832.68,19828263.08,50911101.61,50265214.89,180428152.43,254730746.59,282604963.06,545513920.73
c_1,4626.31,5765.11,18743.39,7914.53,18068.1,75482.76,6750580.66,14584124.69,18784215.45,24470878.09,41584841.4,66507642.81,141503224.88,271316899.85,354426510.69,553440483.39
d_1,5067.51,6405.38,5850.17,19957.73,10066.06,70042.18,8845348.54,11971486.64,47109403.13,28309234.75,75357223.53,64043133.61,195584653.91,290717436.04,422723548.25,529742239.09
b_1,4852.27,5744.13,8931.46,8119.59,26597.13,125170.77,8116692.61,16471514.75,23575182.27,23899551.01,39069184.44,60751974.21,144162955.94,263499431.22,354902259.11,574789357.3
a_1,5533.43,5849.41,8972.83,9346.57,9998.49,276357.15,8595587.7,16964521.32,25240688.23,27154615.79,49667696.34,72001212.12,174812646.55,265434218.37,415458442.65,686011275.2
h_1,5335.85,8049.48,8500.49,9608.28,11209.91,80181.88,14589385.11,15772876.2,25462279.97,31271332.89,60929209.08,69574351.28,217231539.02,201907258.26,418149198.86,719870856.91
d_0,5212.06,6341.57,14489.96,6859.01,12617.71,63492.05,6970762.06,27207837.28,20715450.11,28552546.96,43082147.82,68919100.77,189192699.49,285017853.64,374410792.66,514471990.68
c_0,5552.21,6835.17,6962.3,10299.95,9044.79,77090.17,9514011.14,19337482.07,43502326.04,30044407.17,108945984.81,91467724.12,261331925.75,305504635.05,379380138.13,638817893.69
g_1,4882.49,5231.22,8111.95,13427.0,11602.65,76426.29,7999235.15,13902381.58,28999140.95,58884660.32,61053606.67,106214120.62,203764643.83,285515734.87,474290869.99,470300875.06
b_0,5195.83,6070.6,8366.44,10476.91,10331.89,84235.58,9287209.99,17710964.89,32071088.78,32071896.33,101192839.03,78412629.89,355409248.04,304144224.09,423081014.65,657928698.15
f_0,4705.44,5879.16,8390.42,9390.15,12238.65,84264.11,9148769.54,19639511.51,28936299.74,30746617.08,72097612.86,125916373.86,226754648.56,366266622.45,792421484.74,643568238.93
a_0,5559.78,6810.37,8639.84,9625.85,10641.62,59236.68,9485959.5,19114909.57,31007133.99,28003151.79,63405224.7,70379432.8,368098523.4,321807408.6,417041724.5,634564378.51
h_0,5515.41,8022.38,8347.74,8942.52,11004.31,80839.46,5626508.74,17347577.04,29716356.45,35234942.16,66062439.15,72389774.27,173754933.93,247780051.6,429764454.39,827212711.15
e_0,4862.27,7422.96,7684.61,10862.69,10432.91,67249.18,9967804.44,18424323.2,30856576.58,29771771.9,61088439.71,74279280.57,231476578.65,303639238.67,726528119.73,749602365.25
g_0,5339.92,6145.71,8337.37,12969.39,10723.66,66869.14,8574799.33,15361578.56,32438758.14,22569408.9,57254113.93,102405046.53,174875933.51,272558056.76,433202570.02,579562694.52
