,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,22.65,0.35,0.36,0.37,0.35,0.38,0.76,0.81,0.88,1.42,0.72,0.71,0.67,0.9,0.18,0.84
f_1,0.7,24.42,0.28,0.38,0.3,0.33,0.7,0.56,0.68,0.82,0.16,0.75,0.78,0.82,0.58,0.76
d_1,0.28,0.31,26.29,0.26,0.38,0.42,0.71,0.78,1.6,0.24,0.88,0.82,0.74,0.67,1.08,0.84
c_1,0.36,0.27,0.32,30.21,0.71,0.32,0.83,0.67,0.09,0.75,0.9,0.64,0.81,0.75,0.76,0.77
b_1,0.3,0.4,0.31,0.34,32.56,0.6,0.81,0.69,0.66,0.72,0.87,0.17,0.53,1.09,0.67,0.77
a_1,0.44,0.31,0.31,0.27,0.32,47.27,0.73,0.65,0.77,0.72,0.82,0.71,0.21,1.08,0.95,0.79
h_1,0.48,0.98,0.63,0.66,0.52,0.61,9.22,1.67,1.38,1.48,1.4,1.92,1.95,0.63,1.69,2.47
g_1,0.49,0.61,1.01,0.9,0.62,0.51,0.74,10.68,1.25,0.96,2.23,1.67,1.46,1.73,0.81,0.78
c_0,0.48,0.77,0.93,0.31,0.47,0.64,1.46,1.32,5.26,1.2,1.84,4.49,1.82,1.51,1.99,2.18
d_0,0.62,0.83,0.17,1.45,0.57,0.41,1.35,1.6,1.39,5.7,1.41,1.68,1.7,2.1,1.43,1.48
f_0,0.46,0.2,0.99,0.85,0.52,0.67,1.47,1.42,1.78,2.21,7.24,1.73,1.48,1.82,4.68,1.9
b_0,0.51,0.72,0.75,0.86,0.13,0.56,1.54,1.42,1.64,1.62,2.15,6.71,3.94,1.72,1.58,2.0
a_0,0.59,1.01,0.8,0.69,0.47,0.19,1.33,1.4,1.44,1.55,1.53,1.38,9.11,1.72,1.89,1.85
h_0,0.5,1.2,0.72,0.54,0.62,0.62,0.43,1.78,1.41,1.24,1.27,1.44,1.32,0.66,1.13,1.84
e_0,0.14,0.92,0.67,0.72,0.94,0.56,1.42,1.28,1.7,1.8,1.57,2.21,1.57,1.87,10.1,1.73
g_0,0.51,0.53,1.43,0.63,0.46,0.52,0.94,0.39,1.28,1.14,2.38,1.7,1.8,1.53,1.94,0.72
