,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.52,0.71,0.86,0.51,0.58,0.55,0.87,1.77,0.93,0.94,1.02,0.92,0.96,1.09,0.99,0.54
f_1,1.11,2.65,0.6,0.61,0.57,0.61,0.82,0.75,0.68,0.89,0.4,0.86,0.84,0.77,0.82,0.67
c_1,0.62,0.6,2.82,0.65,1.14,0.6,0.79,0.89,0.8,0.34,0.96,0.69,1.03,0.89,0.98,0.97
d_1,0.58,0.79,0.5,2.94,0.59,0.57,1.0,0.47,0.97,1.78,0.97,1.15,1.11,0.86,1.19,0.93
b_1,0.59,0.59,0.61,0.65,3.1,1.4,0.9,0.74,0.94,0.8,1.03,0.52,0.99,0.79,0.79,0.89
a_1,0.58,0.64,0.67,0.86,0.68,4.15,0.86,0.85,0.98,0.86,1.06,0.99,0.91,0.46,0.89,1.26
h_1,0.68,1.08,0.83,0.91,0.7,0.73,2.56,0.92,1.46,1.01,1.12,1.05,0.75,1.28,1.41,1.25
d_0,0.81,0.75,1.71,0.41,0.81,0.61,1.13,1.95,0.94,0.65,1.13,1.13,1.1,1.27,1.1,1.31
g_1,0.76,0.72,0.83,1.28,0.63,0.7,1.16,0.99,3.16,1.03,1.75,1.0,1.11,1.11,0.69,1.11
c_0,0.91,0.91,0.45,0.96,0.63,0.66,1.35,1.2,1.18,2.26,1.3,2.44,1.19,1.34,1.24,1.24
f_0,0.68,0.61,0.93,0.9,0.89,0.65,1.32,1.11,1.2,1.15,2.26,1.41,1.27,1.32,1.25,2.55
b_0,0.88,0.95,0.77,0.76,0.45,0.48,1.35,1.43,1.16,1.31,1.13,2.82,1.28,2.76,1.14,1.35
h_0,0.73,1.15,0.69,0.89,0.82,0.67,0.84,0.99,1.39,1.19,1.02,1.25,0.78,1.21,1.59,1.16
a_0,0.88,0.84,0.91,0.79,0.8,0.42,1.26,1.22,1.0,1.08,1.14,1.4,1.22,3.31,1.14,1.38
g_0,0.72,0.69,0.67,1.29,0.82,0.58,1.2,1.02,0.79,1.22,1.86,1.31,1.05,1.1,0.93,1.51
e_0,0.56,0.83,0.94,0.97,0.92,0.58,1.33,1.1,1.3,1.22,0.99,1.23,1.35,1.4,1.32,3.43
