,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.68,5.33,5.63,6.24,5.12,1.45,1.45,1.74,1.17,1.14,1.24,0.77,1.1,3.02,0.8
f_1,4.59,1.13,3.6,5.86,6.61,5.03,1.01,1.27,1.73,0.96,1.0,2.38,0.53,1.01,0.85,0.97
d_1,7.25,5.78,1.12,7.78,5.29,4.66,1.61,2.56,0.98,0.98,0.96,1.31,0.84,0.96,0.98,0.49
c_1,4.63,6.89,8.61,1.12,5.51,5.26,1.76,0.65,2.67,2.55,1.35,1.29,0.83,1.26,1.15,0.84
b_1,6.69,7.64,9.25,2.97,1.13,9.15,2.14,1.28,1.74,2.26,4.82,1.07,0.84,1.64,1.06,0.96
a_1,10.94,10.24,9.69,10.79,4.37,1.15,3.35,2.1,2.37,1.93,2.12,1.58,1.51,4.19,2.41,1.55
h_1,18.86,19.06,16.43,19.73,17.65,15.95,1.81,4.64,5.22,3.42,3.66,3.66,5.74,3.35,3.62,2.89
d_0,10.97,22.68,34.81,21.22,22.83,20.38,5.83,2.23,7.67,3.67,3.76,4.02,3.37,3.56,3.66,3.53
g_1,22.82,26.74,24.71,25.6,22.3,19.23,4.99,5.95,1.77,5.09,4.82,4.31,2.78,5.51,3.98,4.84
c_0,26.04,22.53,11.9,72.05,26.89,27.81,8.04,7.77,6.86,2.38,4.7,5.24,3.83,4.9,4.21,3.68
b_0,23.4,25.96,21.72,36.02,58.71,24.8,7.24,5.86,8.47,2.8,2.31,5.18,5.0,4.02,5.17,4.06
f_0,28.44,47.77,32.37,28.69,23.2,21.44,9.03,6.47,4.69,5.22,5.32,2.33,5.06,5.29,4.58,2.97
h_0,33.31,39.81,35.18,33.67,32.69,25.41,17.48,6.42,10.35,7.6,6.41,6.85,8.67,5.66,4.89,5.19
a_0,26.22,40.26,42.59,41.31,44.26,79.15,13.4,7.31,10.03,6.22,4.03,7.22,5.99,2.61,6.7,4.47
e_0,63.74,51.19,34.07,43.03,37.86,36.75,12.56,8.48,10.03,8.0,6.88,3.73,5.45,8.55,2.81,5.12
g_0,44.01,45.94,38.54,48.41,39.41,39.58,7.58,8.48,20.38,7.0,6.96,8.61,4.43,7.31,6.46,10.38
