,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.25,1.33,1.44,1.92,2.96,20.52,30.29,33.4,36.13,42.19,48.21,63.35,107.69,102.88,133.33
e_1,0.83,1.0,1.59,1.32,2.01,3.42,23.4,38.8,35.04,36.49,48.61,46.14,76.37,128.38,124.12,122.09
c_1,0.75,0.63,1.0,1.15,1.92,2.52,16.19,15.95,25.7,23.88,29.88,28.67,52.9,76.86,81.49,95.49
d_1,0.69,0.75,0.85,1.0,1.37,2.34,16.99,21.35,20.65,34.74,31.26,38.26,50.09,82.14,79.46,70.17
b_1,0.51,0.49,0.54,0.72,1.0,2.37,12.05,15.32,17.72,19.66,19.44,23.01,36.93,57.26,59.5,61.13
a_1,0.32,0.3,0.39,0.42,0.43,1.0,7.16,9.18,10.2,11.08,11.63,15.99,21.74,35.69,40.1,36.43
h_1,0.05,0.04,0.06,0.06,0.08,0.14,1.0,1.15,1.61,1.45,1.68,2.07,2.88,4.48,4.82,5.77
d_0,0.03,0.03,0.06,0.05,0.07,0.11,0.86,1.0,1.2,1.12,1.54,1.74,2.45,3.93,4.15,4.92
g_1,0.03,0.03,0.04,0.05,0.06,0.1,0.62,0.84,1.0,1.03,1.45,1.41,1.92,3.85,4.07,3.48
c_0,0.03,0.03,0.04,0.03,0.05,0.09,0.69,0.86,0.96,1.0,1.09,1.91,2.04,3.49,3.69,3.17
f_0,0.02,0.02,0.03,0.03,0.05,0.08,0.58,0.69,0.69,0.93,1.0,1.18,1.67,3.94,2.95,2.46
b_0,0.02,0.02,0.04,0.03,0.04,0.06,0.5,0.59,0.69,0.55,0.85,1.0,1.49,2.49,3.25,2.62
h_0,0.02,0.01,0.02,0.02,0.03,0.05,0.34,0.4,0.51,0.48,0.57,0.66,1.0,1.56,1.67,1.83
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.25,0.27,0.28,0.27,0.4,0.63,1.0,1.07,0.96
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.21,0.24,0.26,0.26,0.34,0.29,0.62,0.96,1.0,1.07
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.21,0.28,0.32,0.39,0.4,0.53,1.04,0.89,1.0
