,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.96,1.32,0.95,1.04,0.89,0.83,1.03,0.88,0.96,0.96,0.89,0.83,0.93,0.81,1.05
d_1,1.04,1.0,1.02,0.83,0.95,1.02,1.25,0.82,1.27,1.26,1.04,1.05,0.98,1.0,1.01,0.72
e_1,0.76,0.98,1.0,1.12,0.97,1.14,1.04,1.07,0.98,1.4,0.95,1.2,1.07,0.98,1.21,1.06
c_1,1.05,1.2,0.9,1.0,1.43,0.79,0.93,0.96,0.74,0.7,0.91,0.91,1.09,0.81,0.92,0.97
b_1,0.96,1.05,1.03,0.7,1.0,1.35,1.08,0.95,1.03,1.09,1.2,0.94,1.02,1.16,1.13,1.21
a_1,1.12,0.98,0.88,1.26,0.74,1.0,1.19,1.04,1.1,0.77,0.98,1.08,1.19,1.17,1.0,1.05
h_1,1.21,0.84,0.95,1.13,0.92,0.84,1.0,1.27,1.01,0.89,1.05,1.18,1.18,1.08,0.93,1.35
g_1,0.99,1.17,0.89,1.01,1.04,0.94,0.79,1.0,0.89,0.98,0.96,1.22,0.73,0.85,0.96,1.03
c_0,1.13,0.82,0.99,1.41,0.97,0.9,1.05,1.15,1.0,1.15,1.31,1.17,1.04,0.93,0.94,0.99
d_0,0.99,0.92,0.74,1.54,0.87,1.19,1.08,1.05,0.87,1.0,1.15,0.94,0.88,1.09,0.9,1.03
b_0,1.13,0.98,1.04,1.17,0.83,0.93,0.9,1.03,0.74,0.85,1.0,0.77,1.06,1.5,0.85,0.97
f_0,1.18,0.94,0.82,1.17,0.99,0.89,0.87,0.87,0.85,1.12,1.26,1.0,1.17,1.08,1.77,0.83
h_0,1.22,1.04,0.91,0.93,0.93,0.83,0.87,1.38,0.94,1.05,0.91,0.84,1.0,0.93,0.99,1.27
a_0,1.08,0.95,1.0,1.24,0.86,,0.93,1.12,1.09,0.99,0.66,0.9,1.15,1.0,0.9,1.05
e_0,1.29,0.96,0.87,1.0,0.85,0.99,1.11,1.07,1.08,1.12,1.08,0.55,1.09,1.18,1.0,0.89
g_0,0.95,1.31,0.89,1.1,0.82,0.9,0.76,1.0,0.92,0.96,0.92,1.19,0.81,0.96,1.16,
