,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.81,0.85,1.08,0.86,0.7,0.48,0.57,0.43,0.37,0.36,0.39,0.34,0.32,0.29,0.31
f_1,1.26,1.0,0.87,0.93,0.89,0.64,0.38,0.44,0.43,0.38,0.38,0.31,0.29,0.24,0.29,0.29
d_1,1.13,1.16,1.0,0.9,0.88,0.66,0.5,0.46,0.37,0.54,0.44,0.39,0.36,0.36,0.32,0.25
c_1,0.92,1.08,1.12,1.0,1.25,0.77,0.52,0.33,0.48,0.41,0.36,0.41,0.36,0.31,0.29,0.3
b_1,1.18,1.1,1.12,0.79,1.0,1.15,0.53,0.47,0.5,0.5,0.51,0.45,0.43,0.35,0.33,0.32
a_1,1.42,1.56,1.53,1.28,0.88,1.0,0.74,0.58,0.6,0.65,0.62,0.55,0.51,0.48,0.54,0.47
h_1,2.15,2.46,2.0,1.99,1.87,1.32,1.0,0.94,1.09,0.82,0.79,0.69,0.72,0.61,0.58,0.66
d_0,1.81,2.29,2.18,3.1,2.16,1.67,1.11,1.0,0.97,0.8,0.83,0.88,0.77,0.72,0.64,0.77
g_1,2.29,2.43,2.62,2.12,1.96,1.6,0.9,0.98,1.0,0.99,0.91,1.04,0.74,0.77,0.68,0.72
c_0,2.73,2.67,1.89,2.42,1.93,1.46,1.23,1.22,0.98,1.0,1.2,0.91,0.81,0.83,0.85,0.65
b_0,2.85,2.61,2.3,2.91,2.08,1.48,1.3,1.21,1.13,0.84,1.0,0.97,0.92,0.85,1.11,0.76
f_0,2.48,3.12,2.56,2.58,2.32,1.85,1.43,1.11,0.98,1.11,1.06,1.0,0.92,1.13,0.72,0.68
h_0,2.95,3.41,2.84,2.73,2.36,1.92,1.38,1.26,1.33,1.2,1.13,1.13,1.0,0.94,0.9,1.04
e_0,3.3,4.16,2.72,3.41,2.94,1.96,1.61,1.34,1.26,1.31,1.16,0.94,1.12,1.0,0.96,0.92
a_0,3.52,3.42,2.95,3.31,3.1,1.88,1.78,1.5,1.45,1.2,0.92,1.44,1.07,1.12,1.0,0.95
g_0,3.43,3.35,3.87,3.38,3.16,2.13,1.54,1.29,1.37,1.52,1.36,1.51,1.0,1.09,0.98,1.0
