,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.67,1.59,1.23,1.38,1.2,1.16,0.47,0.48,0.58,0.48,0.74,0.49,0.32,0.5,0.37,0.5
e_1,0.89,0.67,1.75,1.37,1.47,1.43,0.68,0.64,0.69,0.49,0.61,0.5,0.5,0.69,0.65,0.4
c_1,1.72,1.17,0.64,1.74,1.78,1.11,0.6,0.34,0.67,0.64,0.48,0.44,0.45,0.44,0.43,0.43
d_1,1.49,1.7,1.36,0.64,1.42,1.23,0.72,0.94,0.46,0.58,0.51,0.63,0.47,0.54,0.48,0.3
b_1,1.77,1.73,0.92,1.63,0.62,1.98,0.73,0.63,0.76,0.6,0.55,0.85,0.48,0.49,0.59,0.41
a_1,2.06,1.7,1.94,1.95,0.96,0.58,0.86,0.77,0.76,0.76,0.65,0.67,0.52,0.6,0.97,0.54
h_1,2.41,2.3,2.42,2.06,2.07,1.98,0.57,0.73,1.02,0.78,0.71,0.78,0.68,0.59,0.67,0.61
d_0,2.46,1.42,3.04,3.74,2.12,1.86,1.19,0.63,1.16,0.86,0.91,0.95,0.73,0.71,0.75,1.1
g_1,2.63,2.3,2.52,2.32,2.29,2.47,0.79,0.91,0.55,0.7,1.03,0.77,0.53,0.8,0.85,0.82
c_0,2.72,2.49,4.38,1.41,2.66,2.25,1.1,0.97,1.23,0.62,0.85,1.1,0.77,0.76,0.95,0.76
f_0,4.61,2.12,2.8,2.01,2.56,2.17,1.38,0.85,0.76,0.88,0.6,0.9,0.78,1.05,0.86,0.53
b_0,2.81,2.43,3.54,1.96,3.66,2.5,1.14,0.94,1.1,0.54,0.87,0.58,0.67,0.76,0.97,0.75
h_0,3.13,2.31,2.59,2.7,2.44,2.2,1.88,1.01,1.38,0.98,0.89,0.98,0.97,0.78,0.91,0.81
e_0,3.72,3.17,3.91,2.4,3.13,2.52,1.57,1.25,1.22,0.93,0.6,1.06,0.94,0.56,1.03,0.78
a_0,4.04,2.68,3.36,2.7,2.94,2.9,1.45,1.2,1.19,0.9,1.1,0.66,0.87,0.82,0.55,1.0
g_0,3.19,3.31,2.74,3.23,2.76,2.67,1.13,0.92,1.84,1.21,1.04,1.02,0.73,0.91,0.89,1.05
