,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,34.13,0.11,0.06,0.08,0.06,0.04,0.36,0.44,0.36,0.34,0.44,,0.7,0.29,0.26,0.43
e_1,0.06,35.69,0.08,0.07,0.07,0.08,0.3,0.61,0.29,0.45,0.26,0.37,0.5,,0.35,0.59
d_1,0.06,0.07,39.62,0.05,0.06,0.1,0.29,,0.26,0.74,0.42,0.41,0.57,0.41,0.54,0.48
c_1,0.08,0.06,0.07,42.56,0.1,0.08,0.3,0.48,0.18,,0.35,0.47,0.84,0.31,0.35,0.44
b_1,0.07,0.1,0.07,0.08,51.12,0.14,0.3,0.38,0.32,0.27,,0.31,0.48,,,0.55
a_1,0.07,0.06,0.09,0.05,,73.8,0.19,0.46,,0.45,0.36,0.52,0.74,0.37,,0.85
h_1,0.4,0.2,0.32,0.2,0.21,0.3,26.59,1.37,1.76,1.61,1.19,1.05,,1.77,1.38,3.25
d_0,0.5,0.44,,0.89,0.27,0.25,1.33,16.65,0.92,1.46,1.71,1.81,3.15,2.03,1.83,3.74
g_1,0.2,0.19,0.37,0.31,0.32,0.26,0.65,1.35,34.71,1.4,2.06,2.46,1.97,1.79,1.39,
c_0,0.36,0.28,0.29,,0.36,0.23,2.04,1.41,1.46,19.06,3.67,1.86,4.15,2.19,2.08,3.9
b_0,0.2,0.41,0.39,0.28,,0.27,1.83,1.72,2.0,2.09,21.13,2.81,3.8,2.5,3.9,2.17
f_0,,0.33,0.44,0.32,0.63,0.31,1.38,2.33,1.46,2.05,2.14,22.8,2.87,4.85,1.8,2.69
h_0,0.73,0.55,0.4,0.39,0.61,0.79,,3.67,2.1,3.38,3.72,2.58,,3.94,3.75,4.45
e_0,0.34,,0.34,0.26,0.34,,2.14,3.03,1.92,2.22,1.84,2.59,3.38,31.76,,3.34
a_0,0.37,0.24,0.36,0.38,0.25,,2.4,1.85,1.81,2.11,1.84,2.43,2.45,,31.76,3.34
g_0,0.43,0.4,1.02,0.58,0.95,0.5,1.85,2.34,,1.86,3.71,5.29,3.36,,3.82,
