,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.41,2.37,1.63,1.73,1.55,1.48,2.81,3.23,3.45,3.14,3.3,3.03,4.03,3.4,4.04,2.61
e_1,1.48,2.45,1.53,2.05,1.8,1.8,3.35,3.24,5.47,3.53,3.84,4.07,4.43,3.5,4.8,3.61
d_1,1.73,1.55,2.58,1.6,1.63,1.58,3.41,3.18,3.13,5.15,4.17,3.62,4.56,4.34,4.21,4.02
c_1,1.74,1.53,1.54,2.64,2.55,1.9,3.1,3.22,2.95,2.97,2.76,3.63,4.46,3.92,4.2,4.01
b_1,1.8,1.59,1.63,1.47,2.83,2.79,3.28,3.12,3.61,3.48,2.92,3.67,4.88,2.94,5.09,3.76
a_1,1.91,1.61,1.87,1.56,1.54,3.27,3.67,3.41,3.51,4.22,4.16,4.05,5.04,3.23,4.53,4.02
h_1,2.17,1.71,1.84,1.77,1.56,1.45,4.32,4.0,3.72,3.49,3.69,3.4,3.9,3.85,5.61,4.23
g_1,1.67,1.55,2.19,1.72,1.73,1.68,3.21,4.71,3.37,3.69,3.8,4.54,4.19,4.0,4.31,4.16
d_0,1.73,1.49,1.49,2.74,1.75,1.74,3.29,3.08,4.42,2.89,4.07,3.68,4.65,4.14,4.46,4.35
c_0,1.98,1.63,1.74,1.71,1.36,1.57,3.74,3.71,3.8,4.72,5.94,3.76,5.27,4.77,5.07,4.84
b_0,1.94,1.61,1.82,2.09,1.43,1.43,3.65,3.66,3.57,3.49,4.77,3.75,4.92,6.52,4.58,4.62
f_0,1.67,1.46,1.9,1.82,1.9,1.72,3.79,3.25,3.72,3.99,4.17,5.07,4.93,4.55,4.75,7.32
h_0,2.05,1.7,1.85,1.72,1.7,1.56,3.2,4.01,3.29,3.52,3.72,3.57,4.1,4.04,5.5,3.53
a_0,2.14,1.68,1.76,1.8,1.75,1.38,3.85,3.38,3.54,3.48,3.29,3.84,4.88,5.41,5.11,4.62
g_0,1.64,1.5,2.26,1.74,1.67,1.66,2.84,3.1,3.68,3.88,4.06,5.32,4.79,4.15,4.6,4.82
e_0,2.26,1.68,1.71,1.84,1.75,1.46,3.37,3.49,3.59,3.75,3.74,3.01,5.16,4.69,4.82,5.82
