,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.7,1.54,1.37,1.26,1.59,1.37,6.77,13.18,6.28,4.4,9.21,8.08,11.88,8.71,12.66,10.13
f_1,1.35,6.03,2.81,1.36,1.15,1.45,5.81,5.8,4.54,7.77,7.27,2.88,10.29,6.71,8.98,5.98
e_1,1.43,1.59,6.22,1.81,1.6,1.5,5.04,6.09,4.63,12.92,7.34,7.72,11.3,7.4,9.71,3.49
c_1,1.61,1.33,1.38,7.32,2.93,1.3,3.9,3.09,4.89,6.98,4.23,6.52,10.24,6.0,9.52,8.58
b_1,1.64,1.46,1.34,1.24,7.89,3.15,5.5,6.9,5.08,5.82,4.44,8.42,10.31,6.23,10.77,7.64
a_1,1.54,1.9,1.43,1.74,1.25,10.85,5.52,6.65,6.08,6.48,8.59,7.93,11.58,3.66,12.03,5.77
h_1,1.83,2.43,1.88,2.26,1.33,1.51,16.43,8.33,10.1,7.21,8.13,9.4,8.53,10.07,15.97,10.13
c_0,2.01,1.92,1.74,1.39,1.56,1.91,7.49,15.75,7.91,9.02,17.32,8.59,13.82,13.12,14.91,10.53
g_1,2.89,1.7,1.53,1.9,1.62,1.57,6.87,7.62,19.33,6.14,8.05,13.65,13.02,8.5,10.68,10.93
d_0,1.08,1.92,1.95,3.77,1.99,1.56,6.19,6.07,6.66,15.85,8.64,8.27,13.5,7.34,10.39,7.67
b_0,1.77,2.17,1.77,2.15,1.25,1.68,7.41,8.12,7.3,7.62,17.98,10.33,13.43,19.65,14.0,10.73
f_0,2.21,1.35,1.32,2.25,2.06,1.68,6.87,9.53,8.69,8.8,8.31,19.89,13.34,12.53,14.74,21.8
h_0,1.99,2.64,1.91,2.01,1.69,1.54,4.55,8.23,8.7,8.52,8.42,9.26,8.81,9.42,17.21,9.76
a_0,2.3,2.0,1.9,2.1,1.59,1.01,9.36,8.41,7.12,8.51,8.48,8.76,15.39,24.24,15.43,10.39
g_0,3.18,1.57,1.53,1.96,1.56,1.49,6.54,9.05,5.88,6.99,8.52,15.56,12.73,9.98,10.53,11.3
e_0,1.93,2.31,1.12,2.02,1.84,2.23,8.5,9.61,9.61,9.05,8.76,8.89,14.27,8.92,11.47,25.12
