,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.87,1.18,1.73,1.91,3.33,23.07,41.6,32.39,32.29,40.4,48.26,81.49,100.36,121.2,130.03
f_1,1.15,1.0,1.03,1.23,1.58,2.3,16.97,26.46,29.99,27.56,37.9,31.63,63.21,87.73,108.49,81.08
d_1,0.84,0.98,1.0,1.15,1.42,2.79,19.07,24.54,24.65,37.58,32.27,35.95,61.93,98.27,71.67,86.08
c_1,0.58,0.82,0.88,1.0,1.77,2.19,17.03,15.92,23.02,21.29,24.96,26.09,52.9,72.49,73.4,67.08
b_1,0.53,0.63,0.71,0.56,1.0,2.61,13.6,16.78,17.38,22.19,22.8,23.91,38.33,52.83,56.21,70.73
a_1,0.3,0.44,0.36,0.46,0.38,1.0,6.15,9.63,12.19,9.33,11.15,12.19,26.96,36.25,35.36,30.19
h_1,0.04,0.06,0.05,0.06,0.07,0.15,1.0,1.39,1.71,1.42,1.81,1.83,3.68,4.3,6.59,5.36
d_0,0.02,0.04,0.04,0.06,0.06,0.1,0.74,1.0,1.04,0.92,1.18,1.29,2.65,3.81,3.75,3.87
g_1,0.03,0.03,0.04,0.04,0.06,0.09,0.58,0.95,1.0,0.98,1.29,1.5,2.04,3.41,3.31,3.5
c_0,0.03,0.04,0.03,0.05,0.05,0.11,0.73,1.06,0.97,1.0,1.69,1.41,2.56,3.51,3.94,3.87
b_0,0.03,0.03,0.03,0.04,0.04,0.09,0.56,0.87,0.8,0.59,1.0,1.16,1.9,3.7,3.03,2.74
f_0,0.02,0.03,0.03,0.04,0.04,0.08,0.54,0.75,0.66,0.72,0.89,1.0,1.76,2.46,2.29,3.75
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.28,0.37,0.5,0.39,0.52,0.57,1.0,1.18,1.61,1.37
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.23,0.26,0.31,0.27,0.28,0.41,0.89,1.0,1.04,1.17
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.27,0.31,0.24,0.32,0.44,0.6,0.95,1.0,1.29
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.24,0.27,0.26,0.35,0.27,0.73,0.92,0.8,1.0
