,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.78,0.89,0.81,0.67,0.67,0.73,0.99,0.91,1.61,0.72,1.33,1.03,1.12,1.11,1.08,1.06
f_1,0.81,1.79,1.28,0.74,0.75,0.61,0.97,0.92,0.94,1.07,0.96,0.72,1.02,0.93,0.62,0.92
e_1,0.76,0.88,1.88,1.02,0.8,0.71,0.94,0.86,0.9,1.5,1.0,0.83,0.97,0.96,0.75,0.91
c_1,0.84,0.78,0.69,1.97,1.3,0.96,0.91,0.96,0.55,0.88,0.6,0.97,0.87,0.93,0.95,0.96
b_1,0.8,0.77,0.74,0.85,2.2,1.46,0.88,0.97,0.87,0.9,0.64,0.96,0.74,0.96,0.91,0.91
a_1,0.8,0.81,0.76,0.89,0.91,2.89,1.12,1.02,0.84,0.96,0.94,1.13,0.71,1.05,1.2,1.09
h_1,1.0,1.12,0.81,0.84,0.65,0.67,1.77,1.26,1.06,0.91,1.13,1.13,0.98,0.85,1.25,1.31
g_1,1.19,0.83,0.79,0.78,0.77,0.72,1.05,2.06,1.03,0.87,1.15,1.71,1.21,1.19,1.46,0.92
c_0,0.99,0.91,0.97,0.72,0.73,0.73,1.04,1.1,1.57,0.98,1.85,1.21,1.32,0.98,1.24,1.03
d_0,0.7,0.81,0.83,1.54,0.87,0.82,0.93,0.91,0.63,1.37,0.85,0.92,0.97,0.99,0.94,0.99
b_0,0.96,1.0,0.79,1.01,0.74,0.64,1.06,1.08,1.0,0.99,1.64,1.02,1.9,1.2,1.09,1.03
f_0,1.04,0.76,0.64,0.96,0.96,0.87,1.12,1.16,1.11,0.9,1.16,1.85,1.11,1.0,2.39,1.24
a_0,0.98,0.95,0.83,0.97,0.79,0.7,1.08,1.12,0.98,0.87,1.17,1.08,1.78,1.25,1.04,1.1
h_0,0.99,1.11,0.87,0.88,0.73,0.78,0.79,1.23,0.99,0.98,0.99,1.1,1.09,0.8,0.93,1.16
e_0,1.0,0.88,0.66,0.93,1.02,0.93,1.07,1.14,1.09,0.9,1.04,1.11,1.09,1.23,2.21,1.18
g_0,1.36,0.85,0.77,0.92,0.71,0.67,1.02,0.83,1.18,0.87,1.09,1.39,0.9,1.02,1.19,0.89
