,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.46,1.03,1.1,1.45,1.26,1.22,2.37,2.23,4.57,2.72,2.96,2.95,3.57,2.93,2.35,3.41
d_1,1.28,2.51,1.37,1.04,1.19,1.15,2.67,2.18,1.84,4.11,2.96,2.81,2.86,3.21,2.69,3.22
f_1,1.81,1.1,2.5,1.25,1.19,1.11,1.79,2.13,2.33,2.56,2.57,2.08,3.21,2.99,2.38,3.59
c_1,1.15,1.31,1.34,2.6,1.94,0.96,2.17,2.28,2.2,1.49,1.86,2.09,3.31,2.75,2.7,2.85
b_1,1.15,1.24,1.24,1.04,2.69,2.18,2.85,2.39,2.63,2.58,1.52,2.4,3.07,2.06,2.55,3.22
a_1,1.24,1.45,1.21,1.34,0.98,3.22,2.33,2.89,2.64,2.69,3.12,3.32,3.93,1.82,3.05,3.87
h_1,1.26,1.27,1.87,1.43,1.1,1.39,4.15,3.19,2.83,2.93,3.09,2.67,2.97,2.88,2.72,4.24
g_1,1.16,1.91,1.41,1.37,1.32,1.08,2.5,4.27,2.34,3.24,2.99,3.95,3.4,2.52,3.2,3.02
d_0,1.0,1.16,1.44,2.4,1.36,1.16,2.64,2.82,3.92,2.51,3.06,2.96,3.79,2.87,3.48,3.63
c_0,1.31,1.31,1.37,1.18,1.18,1.45,2.79,2.75,2.98,4.01,5.05,3.44,4.03,3.33,3.63,3.5
b_0,1.18,1.48,1.44,1.67,1.11,1.3,2.62,2.88,2.85,2.4,4.21,3.43,3.75,5.01,3.19,3.47
f_0,1.17,1.47,1.17,1.59,1.24,1.31,2.92,2.52,3.2,2.78,2.87,4.36,4.51,2.82,5.99,3.4
h_0,1.18,1.56,1.79,1.46,1.36,1.09,2.09,3.11,2.84,2.56,3.01,2.59,2.92,2.89,3.01,4.48
a_0,1.25,1.22,1.43,1.53,1.57,1.05,3.15,3.16,2.94,2.7,2.94,3.74,4.24,4.84,3.61,3.63
e_0,0.97,1.72,1.67,1.54,1.25,1.09,3.12,2.39,3.06,2.89,3.25,2.52,4.42,3.37,5.17,3.62
g_0,1.23,1.78,1.3,1.46,1.19,1.21,2.35,2.05,2.67,2.89,3.17,4.33,3.44,3.46,3.22,2.92
