,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,0.82,1.08,0.98,0.68,0.46,0.6,0.44,0.37,0.43,0.46,0.3,0.33,0.36,0.32
f_1,1.28,1.0,0.97,0.91,0.79,0.59,0.38,0.39,0.46,0.39,0.33,0.33,0.36,0.28,0.27,0.3
d_1,1.21,1.03,1.0,0.9,0.79,0.78,0.56,0.43,0.37,0.56,0.46,0.34,0.36,0.36,0.35,0.27
c_1,0.93,1.11,1.12,1.0,1.24,0.73,0.57,0.32,0.4,0.34,0.35,0.35,0.33,0.38,0.33,0.35
b_1,1.02,1.26,1.27,0.81,1.0,1.14,0.57,0.5,0.54,0.51,0.36,0.45,0.36,0.41,0.39,0.29
a_1,1.49,1.68,1.27,1.38,0.89,1.0,0.77,0.54,0.69,0.6,0.64,0.54,0.44,0.48,0.39,0.45
h_1,2.18,2.55,1.93,1.81,1.76,1.25,1.0,0.83,0.87,0.72,0.7,0.66,0.65,0.68,0.58,0.71
d_0,1.64,2.4,2.27,3.19,2.13,1.89,1.19,1.0,1.1,0.79,0.92,0.81,0.84,0.86,0.71,0.76
g_1,2.16,2.03,2.72,2.51,1.95,1.45,1.16,0.9,1.0,1.02,0.8,1.07,0.88,0.68,0.76,0.81
c_0,2.55,2.58,1.84,2.82,1.84,1.55,1.41,1.2,1.04,1.0,1.41,0.91,0.93,0.81,0.74,0.91
b_0,2.31,3.04,2.22,2.86,2.37,1.57,1.43,1.0,1.18,0.72,1.0,0.95,1.37,0.94,0.77,0.79
f_0,2.1,3.2,2.86,2.89,2.31,1.9,1.48,1.18,0.94,1.12,1.08,1.0,1.04,0.93,1.37,0.73
a_0,3.36,2.75,2.55,3.12,3.07,2.21,1.57,1.28,1.19,1.05,0.73,1.02,1.0,1.01,0.94,0.83
h_0,3.12,3.55,2.85,2.72,2.54,1.95,1.4,1.19,1.4,1.17,1.06,1.04,1.0,1.0,0.82,1.12
e_0,2.83,3.86,2.82,3.22,2.55,2.67,1.64,1.42,1.35,1.43,1.44,0.81,1.07,1.18,1.0,1.01
g_0,3.12,3.36,3.7,2.76,3.29,2.2,1.43,1.31,1.24,1.18,1.28,1.33,1.21,0.92,1.04,1.0
