,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.91,0.43,0.32,0.48,0.37,0.23,0.35,0.3,0.58,0.34,0.34,0.33,0.35,0.18,0.3,0.24
f_1,0.68,0.92,0.36,0.37,0.36,0.18,0.33,0.27,0.36,0.34,0.24,0.32,0.35,0.14,0.24,0.22
d_1,0.41,0.45,0.92,0.31,0.32,0.23,0.4,0.32,0.28,0.59,0.35,0.39,0.36,0.25,0.36,0.25
c_1,0.33,0.39,0.39,0.92,0.57,0.28,0.32,0.3,0.33,0.22,0.3,0.22,0.35,0.21,0.26,0.2
b_1,0.39,0.42,0.38,0.41,0.91,0.46,0.34,0.3,0.35,0.29,0.28,0.2,0.37,0.22,0.3,0.16
a_1,0.43,0.44,0.4,0.37,0.37,0.89,0.4,0.3,0.34,0.35,0.35,0.33,0.37,0.26,0.32,0.15
h_1,0.41,0.56,0.45,0.41,0.32,0.23,0.65,0.39,0.33,0.37,0.35,0.34,0.32,0.22,0.4,0.23
g_1,0.35,0.38,0.59,0.45,0.35,0.24,0.36,0.62,0.29,0.38,0.52,0.38,0.42,0.27,0.31,0.25
d_0,0.39,0.4,0.29,0.73,0.42,0.26,0.35,0.33,0.54,0.26,0.37,0.27,0.35,0.21,0.31,0.21
c_0,0.46,0.45,0.49,0.37,0.28,0.25,0.41,0.39,0.41,0.55,0.42,0.59,0.43,0.24,0.33,0.32
f_0,0.3,0.37,0.51,0.46,0.37,0.31,0.41,0.34,0.36,0.38,0.54,0.35,0.34,0.52,0.36,0.28
b_0,0.44,0.47,0.46,0.44,0.29,0.22,0.39,0.4,0.38,0.36,0.41,0.54,0.45,0.26,0.33,0.48
h_0,0.43,0.56,0.47,0.42,0.35,0.23,0.34,0.44,0.36,0.31,0.35,0.32,0.31,0.23,0.4,0.25
e_0,0.31,0.42,0.46,0.5,0.37,0.31,0.45,0.41,0.37,0.36,0.33,0.37,0.43,0.51,0.35,0.24
g_0,0.38,0.39,0.6,0.42,0.35,0.25,0.41,0.32,0.33,0.43,0.53,0.35,0.36,0.3,0.32,0.22
a_0,0.45,0.47,0.48,0.42,0.36,0.21,0.41,0.43,0.33,0.34,0.33,0.35,0.45,0.28,0.34,0.47
