,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.92,0.68,0.42,0.32,0.3,0.21,0.35,0.41,0.25,0.31,0.29,0.19,0.32,0.17,0.23,0.22
e_1,0.51,0.92,0.47,0.28,0.31,0.22,0.37,0.64,0.31,0.32,0.32,0.3,0.36,0.17,0.22,0.26
c_1,0.44,0.41,0.91,0.37,0.57,0.28,0.34,0.34,0.27,0.19,0.21,0.26,0.28,0.21,0.19,0.26
d_1,0.47,0.45,0.32,0.92,0.3,0.21,0.41,0.27,0.29,0.61,0.37,0.3,0.34,0.24,0.25,0.29
b_1,0.43,0.4,0.39,0.35,0.9,0.5,0.34,0.35,0.25,0.33,0.22,0.28,0.35,0.25,0.16,0.28
a_1,0.49,0.41,0.4,0.36,0.33,0.89,0.39,0.37,0.29,0.31,0.33,0.32,0.41,0.25,0.19,0.33
h_1,0.59,0.46,0.44,0.38,0.36,0.25,0.66,0.37,0.38,0.35,0.3,0.32,0.25,0.28,0.23,0.35
d_0,0.52,0.43,0.7,0.27,0.39,0.23,0.4,0.56,0.32,0.25,0.29,0.26,0.36,0.26,0.24,0.28
g_1,0.47,0.37,0.41,0.58,0.38,0.25,0.39,0.33,0.63,0.38,0.31,0.45,0.34,0.29,0.22,0.25
c_0,0.55,0.5,0.39,0.4,0.27,0.27,0.41,0.4,0.34,0.53,0.6,0.35,0.35,0.23,0.33,0.29
b_0,0.57,0.52,0.46,0.38,0.29,0.2,0.43,0.42,0.34,0.37,0.52,0.31,0.36,0.25,0.48,0.31
f_0,0.41,0.35,0.52,0.41,0.39,0.29,0.42,0.43,0.34,0.36,0.34,0.53,0.39,0.49,0.2,0.33
h_0,0.61,0.48,0.48,0.37,0.4,0.23,0.34,0.38,0.38,0.35,0.34,0.29,0.26,0.27,0.2,0.36
e_0,0.54,0.35,0.53,0.37,0.4,0.31,0.46,0.33,0.32,0.34,0.3,0.32,0.37,0.47,0.24,0.34
a_0,0.57,0.48,0.47,0.35,0.36,0.21,0.43,0.44,0.39,0.33,0.34,0.31,0.41,0.27,0.47,0.31
g_0,0.41,0.42,0.46,0.51,0.4,0.27,0.41,0.37,0.29,0.37,0.33,0.47,0.34,0.31,0.22,0.27
