,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.52,1.0,0.85,0.75,0.81,0.69,1.14,1.62,0.91,0.88,1.22,1.02,1.18,0.98,1.0,0.98
f_1,0.85,1.53,1.37,0.83,0.72,0.69,0.96,0.89,0.91,1.1,0.94,0.68,1.01,0.84,1.0,0.69
e_1,0.9,0.85,1.54,1.06,0.9,0.71,1.03,1.02,0.93,1.66,1.09,1.15,1.23,0.94,1.11,0.77
c_1,1.05,0.9,0.82,1.6,1.41,0.67,0.84,0.81,0.91,0.92,0.73,0.89,1.12,0.79,1.01,0.98
b_1,1.02,0.96,0.86,0.66,1.63,1.36,1.15,1.15,1.01,0.98,0.98,1.15,1.16,0.88,1.16,0.91
a_1,1.07,1.1,0.98,1.08,0.72,1.76,1.21,1.12,1.17,1.11,1.25,1.12,1.31,0.78,1.33,0.89
h_1,1.16,1.36,1.1,1.27,0.86,0.79,1.8,1.27,1.55,1.27,1.17,1.23,1.2,1.07,1.52,1.1
c_0,1.12,1.33,1.24,0.99,0.92,1.0,1.46,1.74,1.39,1.47,2.26,1.25,1.58,1.54,1.5,1.26
g_1,1.56,1.13,1.03,1.14,0.98,0.82,1.19,1.31,1.86,1.09,1.22,1.55,1.38,1.18,1.13,1.3
d_0,1.04,1.16,1.0,1.71,1.25,0.99,1.31,1.11,1.22,1.72,1.34,1.2,1.45,1.08,1.36,1.02
b_0,1.2,1.31,1.27,1.37,0.87,0.82,1.43,1.21,1.36,1.35,1.79,1.45,1.55,2.08,1.5,1.37
f_0,1.38,1.15,0.97,1.3,1.14,0.97,1.45,1.48,1.42,1.35,1.34,1.84,1.59,1.43,1.33,2.13
h_0,1.34,1.55,1.22,1.19,1.14,0.9,1.32,1.31,1.47,1.4,1.35,1.29,1.39,1.24,1.77,1.18
a_0,1.36,1.36,1.28,1.33,1.13,0.74,1.72,1.39,1.38,1.42,1.2,1.37,1.72,1.87,1.7,1.44
g_0,1.77,1.2,1.07,1.24,1.07,0.88,1.36,1.51,1.36,1.23,1.33,1.95,1.45,1.18,1.44,1.37
e_0,1.33,1.56,1.11,1.22,1.08,1.06,1.62,1.55,1.48,1.58,1.43,1.12,1.73,1.18,1.37,1.83
