,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,23.74,0.37,0.41,0.26,0.3,0.31,0.64,1.6,0.82,0.74,0.85,0.79,0.82,0.95,1.03,0.23
f_1,0.65,25.45,0.33,0.32,0.32,0.4,0.7,0.64,0.5,0.86,0.14,0.71,0.73,0.66,0.67,0.66
c_1,0.34,0.31,27.18,0.34,0.68,0.31,0.65,0.77,0.6,0.14,0.88,0.64,0.98,0.69,0.92,0.75
d_1,0.29,0.4,0.26,28.99,0.31,0.31,0.75,0.21,0.78,1.6,0.79,0.92,1.01,0.65,1.11,0.79
b_1,0.32,0.28,0.31,0.31,30.67,0.87,0.71,0.58,0.81,0.61,0.91,0.2,1.07,0.65,0.69,0.76
a_1,0.3,0.3,0.37,0.43,0.38,42.94,0.69,0.66,0.75,0.82,0.96,0.86,0.82,0.15,0.77,1.04
h_1,0.44,0.86,0.67,0.8,0.59,0.53,9.35,1.52,1.83,1.37,1.53,1.46,0.45,1.4,1.86,1.68
d_0,0.68,0.64,1.7,0.19,0.62,0.51,1.48,5.49,0.95,1.17,1.4,1.32,1.41,1.69,1.27,1.78
g_1,0.55,0.56,0.74,1.09,0.54,0.78,1.21,1.22,11.54,0.97,2.16,1.22,1.4,1.44,0.39,1.1
c_0,0.68,0.69,0.28,0.92,0.63,0.46,1.68,1.5,1.35,6.15,1.68,3.57,1.62,1.51,1.68,1.47
f_0,0.58,0.38,0.8,0.82,0.51,0.53,1.77,1.6,1.77,1.47,6.0,1.98,1.92,2.01,1.74,3.9
b_0,0.62,0.86,0.68,0.62,0.21,0.36,1.94,1.9,1.42,1.82,1.57,7.74,1.91,3.93,1.66,1.75
h_0,0.46,1.18,0.54,0.69,0.65,0.53,0.57,1.39,1.66,1.57,1.26,1.6,0.57,1.74,2.11,1.23
a_0,0.72,0.87,0.65,0.71,0.51,0.23,1.62,2.0,1.06,1.36,1.87,1.98,1.87,9.85,1.57,2.07
g_0,0.62,0.51,0.5,1.12,0.75,0.43,1.14,1.35,0.66,1.51,2.43,1.64,1.31,1.74,0.61,2.3
e_0,0.24,0.7,0.71,0.82,0.77,0.38,1.94,1.81,1.61,2.26,1.7,1.63,1.88,2.19,1.88,10.05
