,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.65,1.08,1.23,0.92,1.2,0.87,0.48,0.49,0.26,0.39,0.41,0.35,0.33,0.39,0.35,0.29
f_1,1.12,0.65,1.03,1.24,1.03,0.84,0.39,0.52,0.43,0.37,0.44,0.35,0.25,0.29,0.34,0.34
d_1,1.13,1.07,0.64,1.19,1.07,1.07,0.47,0.34,0.52,0.43,0.34,0.39,0.3,0.35,0.32,0.22
e_1,1.22,0.76,1.15,0.64,1.14,1.06,0.54,0.57,0.49,0.42,0.48,0.39,0.35,0.59,0.39,0.38
b_1,0.74,1.31,1.21,1.1,0.63,1.36,0.6,0.54,0.44,0.53,0.41,0.55,0.37,0.38,0.4,0.34
a_1,1.48,1.64,1.41,1.4,0.76,0.57,0.59,0.74,0.54,0.57,0.47,0.64,0.42,0.55,0.64,0.46
h_1,1.74,1.83,1.65,1.85,1.66,1.54,0.55,0.73,0.67,0.58,0.59,0.58,0.54,0.49,0.51,0.55
g_1,1.85,1.87,1.96,1.7,1.93,1.48,0.69,0.53,0.71,0.61,0.76,0.63,0.43,0.62,0.59,0.62
d_0,2.3,1.88,2.52,1.2,2.05,1.66,0.93,0.86,0.58,0.61,0.82,0.62,0.55,0.72,0.71,0.6
c_0,3.53,2.05,1.27,2.06,1.86,1.68,0.91,0.88,1.05,0.56,0.71,0.83,0.6,0.74,0.75,0.54
f_0,2.08,2.94,2.04,1.9,2.02,1.69,0.94,0.63,0.77,0.75,0.56,0.81,0.59,0.83,0.87,0.45
b_0,3.03,2.15,1.62,2.07,2.38,1.77,0.93,0.92,0.84,0.46,0.68,0.56,0.62,0.78,0.83,0.55
h_0,2.18,2.66,2.22,2.18,2.11,1.91,1.21,1.17,0.91,0.8,0.84,0.73,0.76,0.71,0.8,0.66
e_0,2.3,3.6,2.15,2.68,2.31,1.77,1.08,0.84,0.9,0.75,0.52,0.77,0.72,0.53,0.83,0.59
a_0,2.55,2.31,2.4,2.29,2.57,2.29,1.03,1.13,0.85,0.72,0.74,0.52,0.63,0.75,0.55,0.66
g_0,2.55,2.54,2.48,2.15,2.35,2.13,0.88,1.12,0.89,0.85,0.93,0.81,0.57,0.83,0.81,0.74
