,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.48,0.27,0.27,0.23,0.16,0.17,0.18,0.15,0.13,0.16,0.08,0.13,0.14,0.15,0.13
e_1,0.25,0.93,0.25,0.35,0.23,0.15,0.24,0.28,0.17,0.19,0.15,0.16,0.15,0.13,0.16,0.06
d_1,0.34,0.29,0.94,0.22,0.25,0.2,0.21,0.11,0.13,0.3,0.18,0.15,0.2,0.11,0.13,0.11
c_1,0.32,0.26,0.3,0.93,0.39,0.2,0.19,0.15,0.19,0.07,0.13,0.18,0.2,0.14,0.14,0.13
b_1,0.31,0.29,0.32,0.28,0.94,0.32,0.23,0.19,0.19,0.18,0.07,0.16,0.15,0.1,0.17,0.13
a_1,0.37,0.37,0.36,0.33,0.21,0.93,0.29,0.24,0.2,0.23,0.22,0.17,0.23,0.06,0.14,0.13
h_1,0.76,0.43,0.55,0.57,0.39,0.28,0.74,0.34,0.34,0.32,0.29,0.22,0.22,0.23,0.33,0.21
d_0,0.67,0.59,0.29,0.95,0.41,0.31,0.45,0.62,0.28,0.36,0.27,0.33,0.36,0.24,0.33,0.24
g_1,0.67,0.47,0.88,0.44,0.41,0.36,0.4,0.33,0.72,0.34,0.37,0.47,0.28,0.22,0.16,0.2
c_0,0.76,0.64,0.58,0.41,0.42,0.35,0.44,0.36,0.29,0.63,0.58,0.36,0.32,0.36,0.3,0.25
b_0,0.65,0.7,0.55,0.63,0.34,0.29,0.54,0.51,0.34,0.4,0.61,0.38,0.34,0.5,0.31,0.24
f_0,0.43,0.6,0.72,0.55,0.62,0.35,0.58,0.45,0.3,0.44,0.4,0.59,0.37,0.31,0.28,0.4
h_0,0.94,0.64,0.62,0.61,0.61,0.33,0.22,0.33,0.44,0.37,0.41,0.37,0.2,0.27,0.41,0.22
a_0,0.7,0.68,0.74,0.66,0.61,0.3,0.45,0.49,0.43,0.43,0.35,0.4,0.41,0.59,0.35,0.3
g_0,0.54,0.6,0.91,0.78,0.54,0.51,0.37,0.37,0.26,0.42,0.42,0.47,0.37,0.28,0.23,0.28
e_0,0.77,0.34,0.77,0.58,0.64,0.44,0.61,0.41,0.42,0.4,0.5,0.35,0.4,0.32,0.28,0.61
