,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.42,1.11,0.99,1.26,1.02,1.08,2.11,2.34,4.09,2.68,2.75,2.82,2.49,3.42,3.18,2.73
f_1,1.6,2.43,1.18,1.14,0.94,1.18,2.2,2.21,2.34,2.02,2.54,1.46,2.49,2.3,3.37,1.72
d_1,1.14,1.22,2.51,1.0,1.15,1.16,2.33,2.03,1.35,3.89,2.94,2.44,2.53,3.13,2.63,2.26
c_1,1.09,1.21,1.13,2.56,1.85,0.81,2.06,1.91,1.99,1.29,1.79,2.38,2.29,3.25,3.05,2.62
b_1,1.18,1.25,1.18,0.93,2.8,1.83,1.96,1.96,2.15,2.1,1.37,2.75,2.23,2.97,2.58,2.31
a_1,1.02,1.06,1.21,1.49,0.92,3.4,2.69,2.22,2.54,2.55,2.47,2.35,1.52,3.48,3.06,3.48
h_1,1.29,1.46,1.17,1.27,1.29,0.87,3.94,2.9,2.78,2.81,2.84,2.57,2.6,2.99,4.14,3.02
g_1,1.11,0.94,1.68,1.44,1.24,1.35,2.14,4.18,2.34,2.69,2.37,3.87,2.48,2.78,2.43,2.96
d_0,1.06,1.28,1.07,2.0,1.25,1.18,2.23,2.62,3.89,2.06,2.66,2.99,2.37,3.48,3.13,3.05
c_0,1.17,1.52,1.22,1.13,1.07,1.35,2.25,2.51,2.8,3.96,4.33,3.13,3.27,3.61,3.36,2.88
b_0,1.12,1.4,1.21,1.47,0.84,1.35,2.38,2.84,2.81,2.22,4.19,3.08,4.67,3.91,4.18,2.97
f_0,0.95,1.04,1.53,1.41,1.19,1.28,2.89,2.6,2.88,2.72,2.87,4.26,3.29,3.96,3.03,5.27
a_0,1.17,1.3,1.55,1.25,1.16,0.81,2.51,2.7,2.8,2.36,2.73,2.99,4.68,2.8,3.83,3.73
h_0,1.04,1.76,1.35,1.24,1.22,1.17,1.58,2.9,2.44,2.57,2.39,2.34,3.17,2.39,4.28,2.68
g_0,1.13,1.07,1.77,1.11,1.41,1.16,2.02,2.28,2.91,2.94,2.42,4.12,2.88,3.38,2.77,2.96
e_0,0.71,1.71,1.39,1.45,1.43,1.2,2.46,2.47,2.8,2.55,2.61,2.53,2.33,3.42,3.17,5.06
