,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.26,0.05,0.03,0.03,0.02,0.03,0.05,0.06,0.07,0.07,0.06,,0.05,0.08,,0.07
e_1,0.03,2.28,0.02,0.03,0.04,0.02,0.05,0.03,0.06,0.12,0.05,0.05,0.05,0.07,,0.07
d_1,0.03,0.03,2.31,0.03,0.03,0.02,0.05,0.05,0.11,,0.05,0.07,0.05,0.07,0.04,0.07
c_1,0.02,0.03,0.03,2.34,0.06,0.03,0.06,0.03,,0.08,0.04,0.05,0.04,0.09,0.04,0.08
b_1,0.04,0.03,0.03,0.03,2.44,0.04,0.05,0.03,0.05,0.05,,0.05,0.06,0.1,0.07,0.07
a_1,0.03,0.03,0.03,0.02,0.03,2.98,0.05,0.05,0.05,0.08,0.04,0.05,,0.08,,0.08
h_1,0.17,0.1,0.12,0.1,0.1,0.05,2.77,0.28,0.33,0.19,0.2,0.17,0.14,,0.14,0.36
g_1,0.1,0.08,0.19,0.13,0.08,0.06,0.16,2.99,0.16,0.16,0.21,0.42,0.17,0.3,0.22,
c_0,0.12,0.15,0.16,,0.13,0.13,0.28,0.28,2.09,0.28,0.6,0.33,0.27,0.35,0.18,0.25
d_0,0.14,0.16,,0.28,0.15,0.12,0.46,0.18,0.2,2.07,0.32,0.23,0.22,0.34,0.17,0.3
b_0,0.18,0.18,0.15,0.11,,0.09,0.24,0.25,0.32,0.27,2.21,0.32,0.44,0.41,0.2,0.34
f_0,,0.15,0.17,0.17,0.09,0.12,0.22,0.25,0.42,0.34,0.29,2.27,0.24,0.36,0.59,0.25
a_0,0.13,0.11,0.16,0.14,0.12,,0.27,0.18,0.32,0.33,0.37,0.23,2.6,0.55,,0.35
h_0,0.3,0.2,0.19,0.19,0.18,0.15,,0.68,0.51,0.49,0.52,0.25,0.34,,0.43,0.63
e_0,,,0.14,0.15,0.1,,0.33,0.29,0.36,0.4,0.29,0.26,,0.39,2.86,0.38
g_0,0.19,0.23,0.31,0.23,0.2,0.18,0.43,,0.51,0.29,0.56,0.55,0.32,0.41,0.37,
