,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.4,0.75,0.54,1.05,0.87,0.81,0.5,0.46,0.37,0.44,0.47,0.41,0.35,0.37,0.58,0.36
d_1,0.97,0.4,0.77,0.81,0.88,0.74,0.42,0.29,0.39,0.62,0.35,0.31,0.31,0.35,0.34,0.22
f_1,0.86,0.83,0.4,0.76,0.82,0.73,0.35,0.5,0.33,0.37,0.43,0.34,0.23,0.34,0.29,0.37
c_1,0.63,0.95,0.9,0.38,0.96,0.68,0.39,0.59,0.5,0.22,0.39,0.33,0.3,0.35,0.37,0.28
b_1,0.86,0.84,0.92,0.5,0.37,0.95,0.46,0.47,0.42,0.35,0.36,0.52,0.35,0.39,0.45,0.32
a_1,0.85,0.84,1.04,0.94,0.45,0.32,0.49,0.47,0.4,0.5,0.41,0.64,0.3,0.7,0.35,0.32
h_1,0.64,0.68,0.74,0.77,0.73,0.79,0.25,0.39,0.3,0.32,0.32,0.33,0.41,0.29,0.28,0.32
g_1,0.77,0.81,0.67,0.72,0.67,0.7,0.33,0.23,0.32,0.36,0.33,0.34,0.21,0.31,0.32,0.37
c_0,0.73,0.45,0.75,1.06,0.98,0.82,0.4,0.35,0.24,0.49,0.31,0.39,0.3,0.36,0.31,0.3
d_0,0.45,1.17,0.75,0.92,0.73,0.61,0.42,0.45,0.31,0.24,0.34,0.35,0.29,0.36,0.34,0.33
f_0,0.65,0.62,1.16,0.72,0.78,0.71,0.4,0.29,0.32,0.37,0.22,0.31,0.3,0.3,0.41,0.21
b_0,0.65,0.69,0.77,1.04,1.03,0.56,0.37,0.34,0.2,0.32,0.29,0.22,0.3,0.39,0.31,0.23
h_0,0.67,0.69,0.88,0.72,0.61,0.72,0.42,0.46,0.34,0.33,0.29,0.29,0.32,0.31,0.27,0.31
a_0,0.81,0.62,0.71,0.83,0.86,0.82,0.39,0.42,0.29,0.31,0.33,0.18,0.27,0.2,0.33,0.3
e_0,0.92,0.68,0.98,0.7,0.67,0.61,0.37,0.36,0.36,0.32,0.17,0.34,0.3,0.33,0.2,0.28
g_0,0.72,0.75,0.73,0.67,0.7,0.79,0.3,0.46,0.32,0.35,0.32,0.35,0.22,0.27,0.32,0.37
