,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.65,1.05,0.93,0.85,0.87,0.77,0.35,0.43,0.38,0.31,0.32,0.37,0.23,0.29,0.26,0.28
e_1,0.72,0.65,1.15,0.92,0.94,0.82,0.46,0.5,0.43,0.35,0.35,0.42,0.29,0.31,0.39,0.32
c_1,0.99,0.79,0.64,1.18,1.05,0.89,0.45,0.41,0.24,0.36,0.31,0.32,0.29,0.33,0.34,0.28
d_1,1.02,1.09,0.89,0.64,0.98,0.78,0.41,0.3,0.4,0.4,0.37,0.36,0.29,0.36,0.35,0.21
b_1,1.12,1.02,0.75,1.03,0.62,1.12,0.47,0.49,0.37,0.5,0.48,0.4,0.32,0.37,0.35,0.29
a_1,1.51,1.27,1.18,1.28,0.76,0.56,0.66,0.54,0.46,0.4,0.54,0.39,0.38,0.43,0.38,0.32
h_1,1.75,1.54,1.55,1.45,1.37,1.15,0.53,0.71,0.59,0.53,0.56,0.49,0.56,0.51,0.51,0.49
g_1,1.7,1.67,1.66,1.92,1.59,1.57,0.66,0.52,0.61,0.6,0.61,0.66,0.44,0.66,0.57,0.49
d_0,1.66,1.22,2.16,2.02,1.75,1.53,0.8,0.87,0.55,0.59,0.62,0.58,0.61,0.65,0.59,0.61
c_0,1.84,1.96,2.15,1.21,1.61,1.6,0.83,0.74,0.87,0.55,0.72,0.65,0.56,0.67,0.7,0.48
b_0,1.84,1.78,2.37,1.48,1.86,1.46,0.85,0.78,0.7,0.44,0.53,0.65,0.58,0.67,0.61,0.53
f_0,1.98,1.71,2.02,1.77,1.78,1.73,0.89,0.6,0.7,0.67,0.68,0.52,0.54,0.66,0.68,0.43
h_0,2.13,2.02,2.0,1.91,2.01,1.67,0.96,0.88,0.65,0.67,0.63,0.69,0.63,0.62,0.58,0.55
a_0,2.32,2.14,2.16,1.75,2.1,1.89,0.98,0.8,0.76,0.65,0.51,0.81,0.58,0.52,0.68,0.56
e_0,2.75,2.4,2.0,1.98,1.96,1.85,0.94,0.75,0.79,0.71,0.79,0.47,0.75,0.84,0.52,0.55
g_0,2.14,2.04,2.1,2.26,2.11,2.05,0.79,0.99,0.68,0.79,0.75,0.8,0.52,0.73,0.67,0.66
