,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.51,0.7,0.93,0.62,0.68,0.58,0.88,1.48,0.84,0.87,0.94,0.8,0.96,0.8,0.9,0.56
f_1,1.13,1.53,0.71,0.66,0.67,0.61,0.76,0.8,0.66,0.84,0.49,0.73,0.76,0.62,0.8,0.54
c_1,0.7,0.73,1.56,0.78,1.12,0.61,0.78,0.76,0.73,0.49,0.85,0.65,1.03,0.7,0.93,0.7
d_1,0.76,0.91,0.62,1.57,0.68,0.56,0.91,0.69,0.77,1.39,0.87,0.98,1.04,0.7,0.92,0.68
b_1,0.75,0.74,0.63,0.77,1.6,1.15,0.92,0.81,0.89,0.83,0.95,0.63,0.98,0.67,0.75,0.68
a_1,0.78,0.81,0.82,0.98,0.65,1.72,0.92,0.98,0.92,0.93,1.04,1.05,0.99,0.56,0.95,1.05
h_1,0.91,1.28,1.02,1.03,0.84,0.79,1.73,1.02,1.28,0.99,1.04,0.95,0.93,1.0,1.29,0.93
d_0,0.89,1.01,1.79,0.69,1.02,0.71,1.24,1.61,0.99,0.77,1.12,1.02,1.23,1.05,1.15,1.04
g_1,1.01,0.99,1.07,1.39,0.81,0.78,1.14,1.16,1.82,1.09,1.55,0.98,1.14,0.98,0.87,0.91
c_0,1.18,1.14,0.81,0.97,0.84,0.76,1.42,1.51,1.16,1.68,1.25,1.89,1.25,1.14,1.21,1.0
f_0,0.94,1.02,1.15,1.08,1.05,0.74,1.38,1.25,1.03,1.18,1.66,1.29,1.39,1.09,1.11,1.83
b_0,1.17,1.21,1.08,0.92,0.73,0.61,1.42,1.52,1.2,1.12,1.13,1.78,1.34,1.89,1.12,1.08
h_0,1.02,1.46,0.92,1.09,1.04,0.81,1.14,1.21,1.37,1.29,1.09,1.22,1.09,1.07,1.57,0.97
a_0,1.18,1.16,1.19,1.06,1.09,0.64,1.36,1.35,1.07,1.18,1.17,1.12,1.37,1.81,1.24,1.11
g_0,1.05,1.01,0.95,1.47,1.11,0.75,1.28,1.26,1.03,1.32,1.77,1.3,1.15,1.06,1.13,1.23
e_0,0.94,1.24,1.27,1.24,1.18,0.7,1.42,1.3,1.35,1.35,0.94,1.23,1.54,1.21,1.31,1.82
