,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.97,0.8,1.14,0.89,0.59,0.49,0.68,0.42,0.55,0.42,0.42,0.35,0.41,0.36,0.36
d_1,1.04,1.0,1.04,0.95,0.86,0.72,0.49,0.52,0.56,0.35,0.45,0.38,0.36,0.24,0.38,0.32
f_1,1.25,0.97,1.0,1.05,0.72,0.79,0.42,0.38,0.4,0.44,0.37,0.33,0.32,0.37,0.31,0.32
c_1,0.88,1.04,0.96,1.0,1.45,0.66,0.53,0.3,0.37,0.41,0.36,0.43,0.35,0.3,0.32,0.27
b_1,1.11,1.16,1.39,0.68,1.0,1.46,0.52,0.48,0.48,0.51,0.41,0.38,0.42,0.36,0.3,0.28
a_1,1.69,1.37,1.27,1.52,0.69,1.0,0.76,0.64,0.59,0.75,0.7,0.59,0.48,0.45,0.38,0.42
h_1,2.06,2.09,2.39,1.93,1.86,1.26,1.0,0.89,0.86,0.98,0.75,0.72,0.74,0.67,0.64,0.65
d_0,1.47,2.04,2.56,3.38,2.14,1.55,1.16,1.0,0.8,1.0,0.99,0.78,0.8,0.71,0.72,0.72
c_0,2.35,1.78,2.44,2.7,2.08,1.65,1.14,1.22,1.0,0.95,1.32,0.95,0.8,0.76,0.81,0.73
g_1,1.9,2.85,2.17,2.39,1.97,1.37,1.03,1.01,1.07,1.0,1.05,1.2,0.62,0.75,0.78,0.66
b_0,2.34,2.24,2.73,2.77,2.37,1.37,1.34,0.98,0.75,0.99,1.0,0.93,0.91,0.85,0.68,1.02
f_0,2.41,2.59,2.65,2.56,2.6,1.67,1.36,1.24,1.1,0.83,1.07,1.0,0.94,0.76,0.97,0.74
h_0,2.84,2.81,3.03,2.86,2.35,2.03,1.35,1.28,1.19,1.65,1.1,1.06,1.0,1.05,0.7,0.75
g_0,2.36,4.04,2.95,3.39,2.62,2.27,1.46,1.39,1.29,1.37,1.11,1.34,0.94,1.0,0.86,0.86
e_0,2.88,2.59,3.5,3.27,3.25,2.56,1.58,1.42,1.37,1.21,1.48,1.03,1.37,1.17,1.0,0.87
a_0,2.89,3.1,3.2,3.68,3.32,2.62,1.65,1.43,1.37,1.54,1.0,1.36,1.35,1.16,1.14,1.0
