,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.49,0.39,0.46,0.4,0.53,0.36,0.56,0.56,1.02,0.49,0.54,0.43,0.45,0.66,0.36,0.54
f_1,0.72,1.5,0.49,0.47,0.45,0.34,0.47,0.46,0.48,0.46,0.31,0.54,0.41,0.52,0.35,0.49
c_1,0.53,0.48,1.54,0.45,0.64,0.35,0.57,0.48,0.44,0.22,0.56,0.46,0.54,0.64,0.4,0.49
d_1,0.54,0.47,0.41,1.56,0.42,0.39,0.6,0.52,0.26,0.79,0.62,0.61,0.58,0.53,0.45,0.48
b_1,0.42,0.48,0.43,0.5,1.57,0.58,0.59,0.48,0.63,0.57,0.56,0.34,0.36,0.56,0.43,0.67
a_1,0.47,0.63,0.57,0.45,0.43,1.78,0.69,0.5,0.6,0.66,0.49,0.54,0.16,0.65,0.65,0.41
h_1,0.76,1.03,0.73,0.67,0.66,0.51,1.66,0.98,0.87,0.83,0.64,0.81,0.7,0.44,0.69,0.87
g_1,0.65,0.7,0.79,1.12,0.61,0.56,0.73,1.74,0.79,0.89,1.13,0.84,0.67,0.81,0.77,0.58
d_0,0.61,1.0,1.3,0.39,0.7,0.57,0.8,0.75,1.49,0.74,0.69,0.72,0.72,0.94,0.61,1.08
c_0,0.82,1.01,0.6,0.74,0.69,0.53,0.87,0.94,0.83,1.57,0.88,1.51,0.87,1.02,0.75,1.02
f_0,0.86,0.37,0.89,0.69,0.69,0.7,1.09,0.78,1.07,0.92,1.61,1.07,1.07,1.05,1.41,0.91
b_0,0.92,0.87,0.97,0.9,0.32,0.48,0.94,0.98,0.8,0.75,0.88,1.63,1.27,0.89,0.78,0.86
a_0,0.88,0.93,0.71,0.83,0.83,,0.93,1.0,0.87,0.99,0.97,0.77,1.69,1.0,0.99,0.92
h_0,0.76,1.22,0.7,0.94,0.71,0.51,0.53,0.99,0.92,0.94,0.78,0.83,0.97,0.6,0.7,1.06
e_0,0.34,1.15,0.83,0.95,0.85,0.67,1.06,0.88,0.9,1.11,0.79,0.98,0.63,1.13,1.74,0.81
g_0,0.83,0.98,0.94,1.12,0.57,0.69,0.98,0.47,0.8,0.73,1.19,0.86,0.82,0.86,0.99,0.6
