,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,22.47,0.37,0.68,0.37,0.31,0.3,0.67,0.61,0.77,0.77,0.62,0.16,0.8,0.65,0.63,0.68
d_1,0.33,25.71,0.29,0.3,0.32,0.36,0.71,0.75,1.68,0.15,1.1,0.77,0.91,0.81,0.92,0.82
e_1,0.41,0.25,24.86,0.35,0.33,0.29,0.69,0.72,0.77,1.72,1.01,0.72,0.87,0.79,0.25,0.96
c_1,0.32,0.28,0.29,28.73,0.78,0.37,0.63,0.67,0.15,0.82,0.71,0.91,0.8,0.66,0.9,1.1
b_1,0.29,0.33,0.33,0.29,32.48,0.8,0.79,0.53,0.71,0.97,0.09,0.99,0.91,0.95,0.77,0.89
a_1,0.3,0.42,0.33,0.36,0.28,47.58,0.7,0.86,0.84,0.69,0.83,0.89,1.14,0.2,0.72,0.64
h_1,0.95,0.72,0.55,0.79,0.45,0.39,10.18,1.85,1.26,1.16,1.2,1.52,0.56,1.23,1.61,2.05
g_1,0.52,1.21,0.55,0.59,0.61,0.52,1.38,12.11,1.02,0.87,1.37,2.1,1.26,1.57,1.19,0.58
c_0,0.86,0.81,0.59,0.23,0.51,0.72,1.32,1.46,5.85,1.09,2.95,1.54,1.95,1.84,1.55,1.7
d_0,0.7,0.16,0.65,1.75,0.63,0.65,1.34,1.13,0.9,5.68,1.27,1.87,1.51,1.41,1.65,1.18
b_0,0.85,0.61,0.74,0.65,0.26,0.68,1.55,1.5,1.45,1.46,6.3,1.65,1.7,3.41,1.45,1.6
f_0,0.28,0.91,0.48,0.87,0.49,0.59,1.85,1.72,1.68,1.31,1.89,7.17,2.2,1.85,4.19,1.7
h_0,1.09,0.59,0.48,0.6,0.81,0.56,0.51,1.71,1.07,1.33,1.56,1.38,0.85,1.43,1.61,2.28
a_0,0.88,0.55,0.75,0.63,0.64,,1.59,1.23,1.29,1.45,1.42,1.78,1.83,9.02,1.85,1.96
e_0,0.59,0.84,0.18,0.97,0.75,0.59,1.92,1.53,1.45,1.51,1.74,1.9,1.38,1.26,9.72,1.58
g_0,0.65,1.49,0.33,0.59,0.66,0.47,1.74,0.59,1.63,0.96,1.47,2.57,1.63,1.45,1.36,0.71
