,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.1,1.7,2.89,3.31,3.26,3.07,0.86,0.95,0.68,0.59,0.76,0.6,0.47,0.57,0.88,0.5
f_1,2.6,1.1,3.07,2.86,2.76,2.6,0.7,0.92,0.61,0.61,0.87,0.65,0.32,0.58,0.49,0.54
d_1,3.53,3.62,1.1,3.4,3.53,3.02,0.86,0.57,0.95,0.65,0.61,0.6,0.42,0.56,0.58,0.26
c_1,3.05,3.84,4.21,1.11,3.55,3.1,1.07,1.21,0.44,1.06,0.66,0.73,0.49,0.71,0.74,0.49
b_1,4.06,4.1,4.27,2.19,1.12,3.49,1.28,1.25,0.78,1.09,0.94,1.29,0.64,0.97,0.78,0.66
a_1,6.29,7.17,6.03,6.48,2.91,1.14,1.96,1.73,1.35,1.36,1.27,1.63,0.88,1.56,1.23,0.99
h_1,10.28,10.93,11.35,10.81,9.13,9.22,1.57,3.07,2.11,2.27,2.22,2.47,2.18,2.14,1.77,1.63
g_1,13.61,15.91,12.64,14.13,12.07,15.52,2.66,1.63,2.97,2.58,2.62,2.58,1.58,2.66,2.6,2.16
d_0,8.78,15.19,20.52,16.28,14.54,13.86,4.59,4.92,2.05,3.19,3.05,3.22,2.28,2.83,3.08,2.5
c_0,16.45,19.71,8.15,23.58,14.69,14.41,4.34,4.03,4.14,1.97,2.96,3.58,2.59,3.3,2.81,1.97
f_0,15.44,26.86,15.47,18.6,15.43,15.93,4.43,3.12,3.38,3.07,1.98,3.07,2.5,2.99,3.45,1.76
b_0,17.2,19.51,14.09,23.58,25.25,15.66,5.2,4.85,3.78,1.94,3.32,2.06,2.77,3.62,3.24,2.19
h_0,20.56,24.22,21.88,22.86,21.04,21.62,8.73,6.3,4.59,4.58,4.29,3.89,4.31,4.26,4.16,2.89
a_0,20.02,31.41,21.45,22.69,25.25,29.77,6.59,5.48,4.41,3.77,4.23,2.55,3.75,2.33,3.91,3.14
e_0,31.52,32.51,23.92,23.58,23.94,26.32,6.45,5.61,5.55,4.82,2.63,4.26,3.36,4.21,2.35,3.49
g_0,30.51,27.66,27.03,27.23,26.45,23.58,6.31,9.97,5.5,4.97,5.19,5.41,2.92,5.43,4.57,4.69
