,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.93,1.03,0.98,0.86,0.87,1.01,0.91,1.08,0.93,0.95,0.89,0.96,0.84,0.98
e_1,0.87,1.0,0.93,1.13,1.03,1.0,1.1,1.41,0.91,1.04,1.11,1.2,1.06,0.99,1.12,1.14
d_1,1.07,1.07,1.0,0.91,0.95,0.87,0.95,1.06,1.32,0.85,1.05,0.97,1.01,1.06,0.99,0.85
c_1,0.97,0.89,1.08,1.0,1.25,1.03,0.94,0.72,0.87,0.87,0.77,0.98,0.99,0.95,1.03,1.0
b_1,1.0,0.98,1.04,0.81,1.0,1.4,1.1,0.96,1.1,1.05,1.13,1.05,1.1,0.86,1.01,1.16
a_1,1.12,0.97,1.13,0.96,0.75,1.0,1.17,1.01,1.06,1.15,1.04,0.97,0.99,1.09,1.0,0.96
h_1,1.14,0.92,1.04,1.06,0.9,0.79,1.0,0.91,0.93,1.15,0.96,0.89,0.94,1.01,0.96,1.05
d_0,0.98,0.73,0.92,1.4,1.11,0.96,1.07,1.0,0.86,1.09,0.92,1.13,1.07,1.01,1.13,1.1
c_0,1.1,1.12,0.77,1.13,0.9,0.99,1.07,1.1,1.0,1.06,1.38,0.93,1.11,1.25,1.03,1.02
g_1,0.98,0.95,1.26,1.11,0.97,0.86,0.87,0.88,0.97,1.0,1.0,1.17,0.91,0.91,0.97,1.02
b_0,1.08,0.92,0.93,1.21,0.93,0.99,1.03,1.05,0.75,0.98,1.0,0.84,1.04,1.3,0.92,0.9
f_0,1.01,0.82,1.05,1.04,1.02,0.99,1.12,0.91,1.08,0.85,1.09,1.0,0.99,1.13,1.5,0.91
h_0,1.1,0.94,1.0,1.02,0.93,1.0,1.03,0.91,0.88,1.12,1.0,1.0,0.99,0.86,0.9,1.14
a_0,1.06,1.02,0.92,1.01,1.1,0.9,0.97,0.9,0.84,1.08,0.82,0.89,1.2,0.99,0.84,0.99
e_0,1.11,0.89,0.97,1.03,1.03,1.05,1.03,0.84,0.96,1.03,1.04,0.62,1.11,1.07,1.0,0.97
g_0,1.02,0.9,1.15,1.02,0.87,0.94,0.96,0.89,0.99,0.98,1.1,1.11,0.87,1.04,1.05,1.0
