,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.53,1.45,0.95,0.98,0.84,0.68,1.03,1.1,1.25,1.05,0.92,1.1,1.16,0.99,0.79,1.11
e_1,0.95,1.53,0.89,1.23,1.03,0.8,1.12,1.12,1.8,1.09,1.28,1.14,1.27,1.12,0.97,1.17
d_1,1.11,1.05,1.55,0.88,0.91,0.73,1.14,1.07,1.08,1.77,1.17,1.33,1.3,1.12,1.13,1.12
c_1,1.04,0.95,1.07,1.59,1.52,0.87,1.16,1.07,0.97,0.84,1.19,0.82,1.15,0.98,1.06,1.03
b_1,1.18,1.03,1.05,0.85,1.64,1.48,1.28,1.18,1.15,1.1,1.07,0.96,1.39,0.85,1.08,1.11
a_1,1.31,1.19,1.25,1.02,0.8,1.79,1.37,1.41,1.09,1.36,1.29,1.46,1.51,0.85,1.07,1.24
h_1,1.61,1.26,1.34,1.24,1.13,0.99,1.89,1.62,1.44,1.16,1.21,1.18,1.26,1.06,1.15,1.71
g_1,1.3,1.25,1.63,1.32,1.09,0.94,1.41,1.9,1.29,1.48,1.73,1.32,1.35,1.36,1.3,1.32
d_0,1.25,1.13,1.04,1.97,1.4,1.26,1.48,1.46,1.83,1.04,1.49,1.24,1.44,1.3,1.21,1.46
c_0,1.49,1.35,1.34,1.35,1.03,0.96,1.61,1.47,1.65,1.88,1.38,2.29,1.71,1.63,1.46,1.54
f_0,1.29,1.13,1.48,1.3,1.37,1.07,1.74,1.38,1.53,1.65,1.88,1.37,1.63,1.25,2.3,1.53
b_0,1.55,1.18,1.41,1.6,1.1,0.87,1.61,1.45,1.6,1.29,1.5,1.89,1.81,2.29,1.49,1.68
h_0,1.7,1.41,1.42,1.36,1.16,0.96,1.43,1.93,1.55,1.48,1.5,1.55,1.52,1.59,1.26,1.78
a_0,1.48,1.27,1.55,1.49,1.49,0.97,1.85,1.41,1.54,1.54,1.56,1.25,1.69,1.94,1.5,1.63
e_0,1.68,1.23,1.49,1.42,1.26,1.23,1.83,1.53,1.64,1.53,1.36,1.58,2.04,1.45,1.9,1.36
g_0,1.39,1.3,1.81,1.35,1.43,1.05,1.45,1.46,1.41,1.76,2.07,1.61,1.69,1.46,1.72,1.5
