,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,1.31,2.26,2.25,1.84,2.09,1.09,0.91,0.84,0.84,0.77,0.85,0.82,0.63,1.24,0.63
f_1,2.44,0.66,1.87,2.4,1.8,1.98,0.63,1.19,0.78,0.69,0.76,1.67,0.63,0.43,0.61,0.52
d_1,2.21,2.48,0.65,1.86,2.02,2.03,0.95,0.63,1.58,0.87,0.86,0.66,0.77,0.58,0.8,0.44
c_1,1.8,2.03,2.62,0.64,2.78,1.97,1.07,0.93,0.52,1.39,0.75,0.71,0.79,0.52,0.66,0.6
b_1,2.57,2.51,2.46,1.26,0.63,2.27,1.14,1.19,0.83,0.85,1.72,1.05,0.63,0.84,0.82,0.85
a_1,2.56,2.71,2.97,3.17,1.65,0.57,1.46,1.45,0.94,1.0,1.15,0.74,3.65,0.82,0.75,1.14
h_1,2.37,3.36,2.42,2.58,2.69,2.19,0.59,1.13,1.03,1.04,0.99,1.1,0.86,1.6,0.84,0.91
g_1,2.9,3.16,3.12,2.83,2.21,2.26,1.03,0.57,1.16,1.0,1.01,1.27,1.08,0.93,0.91,1.34
d_0,1.87,3.12,4.14,3.62,3.01,3.06,1.32,1.31,0.68,1.07,1.0,0.8,1.06,1.05,0.89,0.88
c_0,2.7,3.39,1.69,5.74,4.6,2.65,1.35,1.49,1.3,0.66,1.15,0.93,0.9,0.97,0.99,0.78
b_0,2.9,3.06,2.54,3.95,5.74,2.24,1.39,1.39,1.07,0.64,0.63,1.05,1.22,0.96,1.03,0.76
f_0,3.3,6.33,2.92,3.68,3.01,3.06,1.35,0.89,1.28,1.04,0.95,0.61,0.94,1.17,1.16,0.63
a_0,3.13,3.85,3.26,3.01,4.49,,1.6,1.37,1.16,1.15,0.74,1.1,0.64,1.02,1.31,0.98
h_0,3.16,4.16,3.37,4.21,2.8,2.6,2.66,1.36,1.14,1.04,1.13,1.04,1.06,1.9,1.16,0.93
e_0,6.56,4.99,2.91,3.5,3.38,3.25,1.47,1.77,1.41,1.13,1.29,0.67,1.01,0.92,0.59,0.9
g_0,4.51,4.0,3.5,3.99,3.31,2.85,1.45,2.55,1.39,1.38,1.56,1.6,1.11,0.95,1.29,1.67
