,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.22,0.05,0.03,0.03,0.03,0.02,0.06,0.04,0.06,0.06,0.06,,0.1,0.05,0.04,0.06
e_1,0.03,2.25,0.03,0.02,0.03,0.02,0.06,0.04,0.11,0.06,0.07,0.05,0.06,0.05,,0.07
c_1,0.03,0.02,2.33,0.03,0.04,0.03,0.06,0.05,0.06,,0.07,0.06,0.09,0.03,0.05,0.07
d_1,0.04,0.03,0.02,2.34,0.03,0.02,0.05,0.04,,0.1,0.08,0.05,0.09,0.05,0.05,0.04
b_1,0.03,0.02,0.03,0.02,2.52,0.04,0.06,0.05,0.06,0.07,,0.06,0.06,0.06,0.05,0.08
a_1,0.03,0.04,0.02,0.04,0.02,3.06,0.07,0.05,0.07,0.07,0.06,0.06,0.07,,0.05,0.06
h_1,0.14,0.1,0.09,0.13,0.12,0.06,2.64,0.21,0.25,0.26,0.2,0.17,,0.18,0.19,0.43
g_1,0.08,0.06,0.11,0.15,0.11,0.06,0.21,3.0,0.21,0.19,0.24,0.46,0.22,,0.21,
d_0,0.14,0.2,0.23,,0.11,0.08,0.28,0.22,1.98,0.31,0.22,0.41,0.48,0.17,0.18,0.42
c_0,0.16,0.16,,0.14,0.1,0.13,0.32,0.26,0.26,2.01,0.54,0.23,0.48,0.23,0.23,0.33
b_0,0.14,0.17,0.14,0.11,,0.1,0.23,0.28,0.28,0.32,2.13,0.29,0.44,0.46,0.28,0.38
f_0,,0.1,0.21,0.15,0.11,0.13,0.31,0.31,0.44,0.38,0.15,2.27,0.4,,0.41,0.3
h_0,0.3,0.26,0.24,0.18,0.15,0.14,,0.53,0.51,0.39,0.45,0.36,,0.37,0.28,0.76
a_0,0.16,0.15,0.15,0.14,0.19,,0.3,,0.24,0.28,0.38,,0.37,2.71,,0.22
e_0,0.15,,0.12,0.13,0.15,0.13,0.29,0.21,0.38,0.39,0.3,0.31,0.43,,2.71,0.31
g_0,0.25,0.23,0.18,0.34,0.17,0.18,0.43,,0.5,0.38,0.26,0.44,0.67,0.32,0.41,
