,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.12,4.78,4.55,3.78,5.07,4.97,0.99,1.11,1.08,1.58,0.89,1.93,0.51,0.93,0.84,0.89
e_1,2.71,1.12,6.52,4.79,6.07,6.24,1.61,1.09,0.97,1.7,1.07,1.3,0.85,2.69,1.09,0.87
c_1,6.15,4.36,1.13,7.59,5.65,6.14,2.06,0.64,2.5,1.36,1.09,0.98,0.81,1.09,1.02,0.82
d_1,6.23,6.11,6.98,1.12,5.87,5.51,1.43,3.22,1.1,1.09,1.29,1.01,0.9,0.83,1.05,0.47
b_1,7.6,9.74,3.21,7.1,1.14,5.93,1.95,1.53,1.63,2.21,4.69,1.48,1.18,1.14,1.53,1.07
a_1,11.3,9.66,9.95,12.86,4.1,1.14,3.08,2.57,2.07,2.73,3.59,1.99,1.36,2.23,24.43,1.46
h_1,17.47,20.0,18.21,18.17,19.59,14.27,1.82,4.53,3.29,6.08,3.29,3.69,5.32,3.31,4.5,2.97
d_0,21.77,11.34,22.54,42.82,24.91,17.63,6.51,2.3,4.91,6.74,4.77,4.31,2.86,3.78,3.35,3.55
c_0,25.56,24.16,61.98,12.07,27.05,19.49,6.62,5.79,2.35,6.97,4.73,5.3,2.9,4.71,4.38,2.97
g_1,27.01,24.31,26.86,23.86,27.57,17.63,5.12,5.18,5.07,1.85,5.08,4.24,2.66,5.46,6.45,4.11
b_0,27.4,20.67,46.04,24.23,78.89,24.72,7.28,5.53,2.71,7.38,2.24,4.85,3.38,6.04,4.68,3.43
f_0,56.85,31.79,27.08,25.83,28.4,21.8,8.19,5.75,5.52,4.84,5.97,2.37,4.58,4.85,6.0,2.48
h_0,38.87,28.62,35.03,27.18,33.02,36.2,17.26,7.3,6.48,9.39,6.31,6.97,7.61,6.88,5.8,5.78
e_0,70.54,66.43,36.21,42.24,36.88,40.54,10.45,7.09,9.39,9.69,8.07,4.21,7.22,2.77,7.6,5.57
a_0,48.22,36.12,56.54,38.12,64.55,,11.03,10.0,7.07,13.48,3.73,7.27,6.45,7.82,2.65,5.11
g_0,45.35,48.95,58.6,41.68,48.97,48.26,9.68,10.0,8.39,32.63,9.63,9.09,4.95,7.17,8.77,10.76
