,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10769.05,2158.18,1680.94,1813.09,2758.18,11531.39,1210126.97,2880303.83,5060678.23,6415524.87,9680556.57,3302185.08,47847422.75,36189640.25,38664734.3,83961717.28
e_1,1243.31,12432.97,1762.45,1315.9,3163.99,11774.24,1385993.55,3493085.62,10903123.68,7052319.7,9918764.24,13286735.3,34893724.88,34778924.81,11120743.6,100278766.85
c_1,1064.44,938.85,17467.74,2047.47,4933.23,14893.44,1322722.27,3814133.53,5750016.24,998454.04,8905007.49,14547948.74,43915483.06,29839676.03,62072870.61,91195983.76
d_1,1326.14,1077.61,1487.49,18318.96,3383.09,14581.78,1356423.44,3908060.58,1246128.6,11429625.86,11616309.85,12954159.69,47421858.96,32999781.88,53948748.24,62843601.88
b_1,1103.22,1080.23,1675.79,1665.95,37510.67,25793.12,1383937.6,3871617.14,6013477.52,6958260.16,1257692.47,14439425.54,35765760.95,37602482.89,60620169.4,96934376.44
a_1,1067.4,1691.51,1263.79,2221.65,2505.76,262964.41,1435570.55,3634156.44,5125491.91,6397417.49,9290442.81,13305325.56,35776804.07,,56596294.19,68299591.72
h_1,2324.19,2132.86,2842.44,3449.9,5290.52,20725.48,8908924.92,7402307.05,8639208.87,10433128.94,14738249.27,20360584.71,23329949.85,62802949.16,92959424.03,224454204.27
g_1,1679.42,1210.39,2961.11,4779.63,5103.32,24551.57,2135327.91,31935879.28,8769944.12,10700917.9,17883404.94,45720153.76,60391641.96,75866465.51,138274591.24,76338340.53
d_0,1991.09,2445.2,5678.19,945.99,4288.89,25941.04,2032728.86,6341979.55,25701263.8,9515101.9,15253820.16,28984583.46,68419601.25,50594525.4,104322716.24,164983563.07
c_0,2091.27,2383.57,1310.96,3563.22,4143.46,32564.66,2604975.04,6340308.25,10547159.92,30641529.99,31862888.41,22061992.33,78151488.68,78785610.87,109424027.7,151880213.63
b_0,2328.85,2332.27,2970.56,3159.72,2037.93,23905.48,2289494.62,7462910.74,9606550.63,13247414.53,50613173.41,24855320.43,92845876.14,136764990.76,119598542.55,183345944.19
f_0,805.2,1771.22,3953.33,3147.4,5885.6,29755.18,2546710.7,7493723.74,12238634.44,13404865.78,12494263.26,81893252.28,79536178.29,48677327.58,228135948.22,195920365.3
h_0,3101.23,2258.87,3412.26,2811.7,4680.74,19626.1,580934.8,9002876.44,9126223.1,7855832.59,14397796.85,22026636.57,25726044.85,61822137.67,80286058.66,196147124.98
a_0,2149.43,2647.36,3287.32,3094.93,6358.07,,2513759.25,4490350.94,7372909.3,10030698.55,17927452.73,18228940.61,67782063.27,264902633.32,55969761.29,146095789.64
e_0,2210.39,809.24,2931.04,2910.24,7033.72,31352.87,2598535.6,7285706.55,12334078.08,11096631.1,15505448.1,31689547.99,106709511.05,66871165.63,433422511.15,161620955.3
g_0,1973.51,2151.25,3310.68,4483.43,4605.27,24736.0,1979433.05,2910084.71,8637777.35,8603796.37,10437863.39,27399894.96,70065944.28,63031752.39,94331244.83,71607513.79
